Title,Genre,Rating,Votes,Duration
Gladiator II,Action,6.5,242000,2h 28m
Dune: Part Two,Action,8.5,634000,2h 46m
Kraven the Hunter,Action,5.5,60000,2h 7m
Twisters,Action,6.5,173000,2h 2m
Venom: The Last Dance,Action,6.0,124000,1h 50m
Deadpool & Wolverine,Action,7.5,501000,2h 8m
The Ministry of Ungentlemanly Warfare,Action,6.8,137000,2h 2m
Fight or Flight,Action,6.4,12000,1h 42m
Civil War,Action,7.0,241000,1h 49m
Sonic the Hedgehog 3,Action,6.9,62000,1h 50m
The Beekeeper,Action,6.3,159000,1h 45m
Freaky Tales,Action,6.3,6000,1h 47m
Furiosa: A Mad Max Saga,Action,7.5,288000,2h 28m
The Fall Guy,Action,6.8,224000,2h 6m
The Count of Monte-Cristo,Action,7.6,36000,2h 58m
Carry-On,Action,6.5,169000,1h 59m
Road House,Action,6.2,169000,2h 1m
Arcadian,Action,5.5,24000,1h 32m
Madame Web,Action,4.0,102000,1h 56m
Borderlands,Action,4.7,50000,1h 41m
Love Lies Bleeding,Action,6.6,58000,1h 44m
Rebel Ridge,Action,6.8,90000,2h 11m
Transformers One,Action,7.6,52000,1h 44m
Homestead,Action,5.3,3900,1h 52m
Drive-Away Dolls,Action,5.4,24000,1h 24m
Godzilla x Kong: The New Empire,Action,6.0,123000,1h 55m
Bad Boys: Ride or Die,Action,6.5,101000,1h 55m
The Crow,Action,4.7,36000,1h 51m
Argylle,Action,5.6,93000,2h 19m
Kingdom of the Planet of the Apes,Action,6.9,153000,2h 25m
The Unholy Trinity,Action,N/A,153000,1h 33m
The Lord of the Rings: The War of the Rohirrim,Action,6.3,32000,2h 14m
Elevation,Action,5.6,23000,1h 31m
Red One,Action,6.3,141000,2h 3m
Kung Fu Panda 4,Action,6.3,69000,1h 34m
Monkey Man,Action,6.8,93000,2h 1m
Damsel,Action,6.1,110000,1h 50m
The Killer's Game,Action,5.8,18000,1h 44m
Azrael,Action,5.4,12000,1h 26m
The Instigators,Action,6.2,38000,1h 41m
The Union,Action,5.4,54000,1h 47m
Land of Bad,Action,6.6,52000,1h 53m
Uglies,Action,4.7,33000,1h 40m
Maharaja,Action,8.4,69000,2h 21m
Pushpa: The Rule - Part 2,Action,6.1,57000,3h 21m
Thelma,Action,7.0,23000,1h 38m
Blitz,Action,6.2,17000,2h
The Silent Hour,Action,6.1,8000,1h 39m
Fighter,Action,6.2,52000,2h 46m
Apocalypse Z: The Beginning of the End,Action,6.1,20000,1h 57m
Hellboy: The Crooked Man,Action,4.5,14000,1h 39m
Dirty Angels,Action,4.4,3700,1h 44m
Werewolves,Action,4.4,7300,1h 33m
Attack on Titan the Movie: The Last Attack,Action,9.2,17000,2h 25m
Beverly Hills Cop: Axel F,Action,6.4,82000,1h 58m
William Tell,Action,5.7,2800,2h 13m
Lift,Action,5.5,50000,1h 47m
The Killer,Action,5.7,13000,2h 6m
Atlas,Action,5.6,56000,1h 58m
Old Guy,Action,5.2,2700,1h 34m
Long Gone Heroes,Action,5.1,1200,1h 41m
Weekend in Taipei,Action,5.7,5100,1h 40m
Solo Leveling: ReAwakening,Action,8.8,13000,2h 1m
40 Acres,Action,7.0,195,1h 53m
Survive,Action,4.5,2900,1h 30m
Kalki 2898 AD,Action,7.0,67000,3h
Jackpot!,Action,5.8,31000,1h 46m
Under Paris,Action,5.2,37000,1h 44m
Rebel Moon - Part Two: The Scargiver,Action,5.3,60000,2h 2m
Absolution,Action,5.2,8500,1h 52m
The Last Stand of Ellen Cole,Action,N/A,8500,1h 37m
Twilight of the Warriors: Walled In,Action,7.0,10000,2h 6m
Canary Black,Action,5.4,12000,1h 41m
Night Call,Action,6.8,2200,1h 37m
Brothers,Action,5.4,13000,1h 29m
The Prosecutor,Action,6.6,2300,1h 57m
Aftermath,Action,5.1,4200,1h 37m
Gunner,Action,3.2,2800,1h 46m
Descendants: The Rise of Red,Action,4.7,7200,1h 31m
Amaran,Action,8.1,19000,2h 47m
The Quiet Ones,Action,6.3,777,1h 50m
Saripodhaa Sanivaaram,Action,7.0,9500,2h 46m
The Shadow Strays,Action,6.5,9500,2h 24m
Damaged,Action,4.7,7500,1h 37m
Armor,Action,3.6,4300,1h 29m
No Way Up,Action,4.6,11000,1h 30m
Trigger Warning,Action,4.6,20000,1h 46m
Boneyard,Action,4.1,5100,1h 36m
Classified,Action,3.7,2700,1h 45m
Watchmen: Chapter I,Action,7.1,6800,1h 23m
11 Rebels,Action,6.2,552,2h 35m
Sikandar Ka Muqaddar,Action,6.0,24000,2h 22m
Uprising,Action,6.6,5700,2h 6m
Baby John,Action,5.2,17000,2h 39m
Marco,Action,6.8,22000,2h 25m
Harbin,Action,6.2,860,1h 48m
Guy Manley: Super Spy,Action,4.4,142,1h 32m
Relay,Action,7.5,113,1h 52m
My Hero Academia: You're Next,Action,7.0,2500,1h 50m
Role Play,Action,5.5,19000,1h 40m
Hounds of War,Action,4.5,2000,1h 35m
My Spy: The Eternal City,Action,5.7,11000,1h 52m
Striking Rescue,Action,5.6,620,1h 51m
Take Cover,Action,5.1,2600,1h 30m
They Call Her Death,Action,5.4,170,1h 32m
The Fix,Action,4.7,1500,1h 38m
Red Right Hand,Action,5.5,6000,1h 51m
Duchess,Action,4.6,1500,1h 54m
Aavesham,Action,7.8,29000,2h 35m
Chief of Station,Action,4.7,4700,1h 37m
Cash Out,Action,4.8,3000,1h 32m
Joe Baby,Action,5.8,63,1h 26m
The Clean Up Crew,Action,4.1,1200,1h 35m
Justice League: Crisis on Infinite Earths - Part Three,Action,6.1,4700,1h 34m
Officer Black Belt,Action,6.9,8500,1h 48m
Cloud,Action,6.3,1300,2h 4m
Hitpig,Action,5.1,1000,1h 26m
The Roundup: Punishment,Action,6.6,5500,1h 49m
Watchmen: Chapter II,Action,7.0,3300,1h 30m
Jigra,Action,6.0,24000,2h 33m
