Title,Genre,Rating,Votes,Duration
Gladiator II,Adventure,6.5,242000,2h 28m
Dune: Part Two,Adventure,8.5,634000,2h 46m
Kraven the Hunter,Adventure,5.5,60000,2h 7m
Twisters,Adventure,6.5,173000,2h 2m
Venom: The Last Dance,Adventure,6.0,124000,1h 50m
Deadpool & Wolverine,Adventure,7.5,501000,2h 8m
Mufasa: The Lion King,Adventure,6.6,68000,1h 58m
Paddington in Peru,Adventure,6.7,24000,1h 46m
Moana 2,Adventure,6.6,106000,1h 40m
Flow,Adventure,7.9,80000,1h 25m
Sonic the Hedgehog 3,Adventure,6.9,62000,1h 50m
Freaky Tales,Adventure,6.3,6000,1h 47m
Furiosa: A Mad Max Saga,Adventure,7.5,288000,2h 28m
The Count of Monte-Cristo,Adventure,7.6,36000,2h 58m
Borderlands,Adventure,4.7,50000,1h 41m
Love Lies Bleeding,Adventure,6.6,58000,1h 44m
Transformers One,Adventure,7.6,52000,1h 44m
Inside Out 2,Adventure,7.5,219000,1h 36m
The Return,Adventure,6.2,9600,1h 56m
Godzilla x Kong: The New Empire,Adventure,6.0,123000,1h 55m
The Day the Earth Blew Up: A Looney Tunes Movie,Adventure,7.0,4900,1h 31m
Despicable Me 4,Adventure,6.2,67000,1h 34m
Bad Boys: Ride or Die,Adventure,6.5,101000,1h 55m
Kingdom of the Planet of the Apes,Adventure,6.9,153000,2h 25m
The Unholy Trinity,Adventure,N/A,153000,1h 33m
The Lord of the Rings: The War of the Rohirrim,Adventure,6.3,32000,2h 14m
Red One,Adventure,6.3,141000,2h 3m
Ghostbusters: Frozen Empire,Adventure,6.1,94000,1h 55m
Kung Fu Panda 4,Adventure,6.3,69000,1h 34m
Damsel,Adventure,6.1,110000,1h 50m
Uglies,Adventure,4.7,33000,1h 40m
Wallace & Gromit: Vengeance Most Fowl,Adventure,7.5,35000,1h 22m
Spaceman,Adventure,5.7,43000,1h 47m
The Garfield Movie,Adventure,5.7,24000,1h 41m
Attack on Titan the Movie: The Last Attack,Adventure,9.2,17000,2h 25m
Lost on a Mountain in Maine,Adventure,6.1,1400,1h 38m
Atlas,Adventure,5.6,56000,1h 58m
Harold and the Purple Crayon,Adventure,5.7,8600,1h 30m
Solo Leveling: ReAwakening,Adventure,8.8,13000,2h 1m
Survive,Adventure,4.5,2900,1h 30m
Kalki 2898 AD,Adventure,7.0,67000,3h
Arthur the King,Adventure,7.0,35000,1h 47m
Rebel Moon - Part Two: The Scargiver,Adventure,5.3,60000,2h 2m
Spellbound,Adventure,5.5,7700,1h 49m
Monster Summer,Adventure,5.7,3900,1h 37m
Kaizen,Adventure,7.2,699,2h 40m
Descendants: The Rise of Red,Adventure,4.7,7200,1h 31m
Orion and the Dark,Adventure,6.3,17000,1h 33m
My Penguin Friend,Adventure,6.8,5500,1h 37m
No Way Up,Adventure,4.6,11000,1h 30m
Night of the Zoopocalypse,Adventure,6.0,824,1h 31m
Crayon Shin-chan: Ora's Dinosaur Diary,Adventure,6.6,538,1h 46m
Doraemon the Movie: Nobita's Earth Symphony,Adventure,6.6,1500,1h 55m
My Hero Academia: You're Next,Adventure,7.0,2500,1h 50m
Winner,Adventure,6.5,2600,1h 43m
Sasquatch Sunset,Adventure,5.4,5500,1h 28m
The Empire,Adventure,5.2,1300,1h 50m
Sketch,Adventure,8.2,61,1h 32m
Family Pack,Adventure,5.5,9400,1h 34m
Bookworm,Adventure,6.0,2000,1h 43m
Manjummel Boys,Adventure,8.2,28000,2h 15m
