Title,Genre,Rating,Votes,Duration
The Wild Robot,Animation,8.2,171000,1h 42m
Mufasa: The Lion King,Animation,6.6,68000,1h 58m
Paddington in Peru,Animation,6.7,24000,1h 46m
Moana 2,Animation,6.6,106000,1h 40m
Flow,Animation,7.9,80000,1h 25m
Transformers One,Animation,7.6,52000,1h 44m
Inside Out 2,Animation,7.5,219000,1h 36m
IF,Animation,6.4,59000,1h 44m
The Day the Earth Blew Up: A Looney Tunes Movie,Animation,7.0,4900,1h 31m
Despicable Me 4,Animation,6.2,67000,1h 34m
The Lord of the Rings: The War of the Rohirrim,Animation,6.3,32000,2h 14m
Kung Fu Panda 4,Animation,6.3,69000,1h 34m
Wallace & Gromit: Vengeance Most Fowl,Animation,7.5,35000,1h 22m
Memoir of a Snail,Animation,7.8,18000,1h 35m
The Garfield Movie,Animation,5.7,24000,1h 41m
Attack on Titan the Movie: The Last Attack,Animation,9.2,17000,2h 25m
Harold and the Purple Crayon,Animation,5.7,8600,1h 30m
Solo Leveling: ReAwakening,Animation,8.8,13000,2h 1m
Spermageddon,Animation,5.7,936,1h 20m
Spellbound,Animation,5.5,7700,1h 49m
Orion and the Dark,Animation,6.3,17000,1h 33m
Look Back,Animation,7.8,15000,58m
The Most Precious of Cargoes,Animation,7.1,1300,1h 21m
Piece by Piece,Animation,6.9,5700,1h 33m
Night of the Zoopocalypse,Animation,6.0,824,1h 31m
Watchmen: Chapter I,Animation,7.1,6800,1h 23m
Crayon Shin-chan: Ora's Dinosaur Diary,Animation,6.6,538,1h 46m
Doraemon the Movie: Nobita's Earth Symphony,Animation,6.6,1500,1h 55m
The Remarkable Life of Ibelin,Animation,8.2,13000,1h 43m
My Hero Academia: You're Next,Animation,7.0,2500,1h 50m
Justice League: Crisis on Infinite Earths - Part Three,Animation,6.1,4700,1h 34m
That Christmas,Animation,6.8,17000,1h 31m
Hitpig,Animation,5.1,1000,1h 26m
Watchmen: Chapter II,Animation,7.0,3300,1h 30m
Thelma the Unicorn,Animation,5.7,3000,1h 33m
Dan Da Dan: First Encounter,Animation,8.2,2800,1h 23m
Justice League: Crisis on Infinite Earths - Part One,Animation,6.2,8600,1h 33m
Megamind vs. The Doom Syndicate,Animation,2.5,5600,1h 23m
Ultraman: Rising,Animation,6.9,6500,1h 57m
Grand Theft Hamlet,Animation,6.9,2100,1h 29m
Justice League: Crisis on Infinite Earths - Part Two,Animation,5.5,5500,1h 34m
Haikyu!! The Dumpster Battle,Animation,7.7,6400,1h 25m
Overlord: The Sacred Kingdom,Animation,6.9,1300,2h 15m
Limonov: The Ballad of Eddie,Animation,5.9,1000,2h 18m
Ghost Cat Anzu,Animation,6.5,831,1h 37m
Dragonkeeper,Animation,5.7,1700,1h 38m
The Glassworker,Animation,7.3,1800,1h 38m
Buffalo Kids,Animation,6.6,744,1h 33m
The Colors Within,Animation,7.1,1100,1h 41m
Dalia and the Red Book,Animation,5.9,131,1h 47m
Blue Lock: Episode Nagi,Animation,6.6,2600,1h 31m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Animation,7.2,8700,1h 44m
Boys Go to Jupiter,Animation,6.8,104,1h 30m
10 Lives,Animation,5.9,2000,1h 28m
Dongeng Sang Kancil,Animation,6.7,201,1h 39m
The Tiger's Apprentice,Animation,5.7,2200,1h 24m
Mars,Animation,8.3,22,1h 24m
From Ground Zero,Animation,7.9,557,1h 52m
Saving Bikini Bottom: The Sandy Cheeks Movie,Animation,3.7,3900,1h 22m
Noah's Ark,Animation,4.3,682,1h 36m
Baki Hanma VS Kengan Ashura,Animation,5.7,2000,1h 2m
Woody Woodpecker Goes to Camp,Animation,4.5,2600,1h 40m
Given 3: To the Sea,Animation,8.9,102,1h 20m
Panda Bear in Africa,Animation,5.5,360,1h 24m
Sabbath Queen,Animation,8.0,67,1h 45m
Super-Charlie,Animation,5.9,150,1h 20m
Rebellious,Animation,6.1,220,1h 34m
Johnny Puff: Secret Mission,Animation,4.8,457,1h 27m
A Sloth Story,Animation,5.6,222,1h 30m
Diplodocus,Animation,6.3,186,1h 30m
Savages,Animation,6.8,368,1h 27m
Gracie and Pedro: Pets to the Rescue,Animation,5.1,280,1h 27m
200% Wolf,Animation,5.9,1300,1h 38m
Frida,Animation,7.5,1500,1h 27m
The Night Before Christmas in Wonderland,Animation,6.3,524,1h 20m
Ryan's World the Movie: Titan Universe Adventure,Animation,1.8,706,1h 20m
Terra Incognita 1901,Animation,5.5,55,1h 18m
Mononoke the Movie: The Phantom in the Rain,Animation,6.8,1300,1h 29m
No Time to Spy: A Loud House Movie,Animation,6.4,477,1h 21m
Detective Conan: The Million-Dollar Pentagram,Animation,6.7,1500,1h 51m
The Casagrandes Movie,Animation,5.6,682,1h 29m
Lesbian Space Princess,Animation,7.2,154,1h 27m
My Oni Girl,Animation,6.0,1800,1h 52m
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',Animation,8.7,1200,1h 30m
Angelo dans la forêt mystérieuse,Animation,6.0,129,1h 21m
White Snake: Afloat,Animation,6.9,503,2h 13m
Dragon Ball Z Kai,Animation,8.5,77,1h 22m
Mobile Suit Gundam SEED Freedom,Animation,6.6,971,2h 4m
My Freaky Family,Animation,6.3,417,1h 26m
Appu,Animation,8.5,186,1h 32m
Monkey King: The Beginning,Animation,9.6,5,N/A
I Am What I Am 2,Animation,7.5,210,2h 14m
Elli and the Ghostly Ghost Train,Animation,5.1,105,1h 26m
Living Large,Animation,7.0,145,1h 20m
Mariposas Negras,Animation,7.2,65,1h 23m
The Quintessential Quintuplets Specials 2,Animation,6.9,146,46m
Rafadan Tayfa: Kapadokya,Animation,6.6,127,1h 24m
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Animation,6.6,9,55m
Big City Greens the Movie: Spacecation,Animation,6.2,559,1h 23m
Bloody Escape: Bats out of Hell,Animation,5.4,56,1h 40m
Storm Crashers,Animation,6.2,569,1h 28m
Niko: Beyond the Northern Lights,Animation,6.2,346,1h 26m
Little Emma,Animation,5.8,125,1h 46m
Kid Santa,Animation,N/A,125,N/A
Where the Robots Grow,Animation,2.8,522,N/A
Kizumonogatari: Koyomi Vamp,Animation,7.1,101,2h 24m
The Proud Princess,Animation,6.5,131,1h 24m
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Animation,7.2,25,1h 30m
Heartsping : Teenieping of Love,Animation,7.1,26,TV-Y
The Big Trip 3: Race Around the World,Animation,5.6,65,1h 25m
Shrek 5: The Contract - A Fan Made Film,Animation,7.0,20,1h 24m
STEVE (A Minecraft Movie),Animation,6.9,12,1h 1m
Peppa's Cinema Party,Animation,4.9,155,1h 5m
Double Tuckerr,Animation,4.9,1200,2h
The Lost Tiger,Animation,7.8,47,1h 30m
(S)KiDS,Animation,8.6,112,1h 25m
Isla Monstro,Animation,7.8,9,N/A
Bocchi the Rock! Re: Re:,Animation,7.4,129,1h 17m
Ivan Tsarevich i Seryy Volk 6,Animation,5.7,93,N/A
SuperKlaus,Animation,4.3,204,1h 28m
Sanatorium Under the Sign of the Hourglass,Animation,5.4,127,1h 15m
Movie Given Hiiragi Mix.,Animation,7.6,208,1h 10m
Die Heinzels: Neue Mützen Neue Mission,Animation,6.4,98,1h 16m
Mochi-chon,Animation,8.2,10,N/A
Out of the Nest,Animation,6.4,118,1h 24m
Rock Bottom,Animation,6.4,51,1h 26m
Fox & Hare Save the Forest,Animation,5.9,210,1h 11m
Zak & Wowo: The Legend of Lendarys,Animation,5.7,103,1h 25m
Inanimate Insanity II: The Movie,Animation,8.4,236,1h 46m
Luntik. Vozvrashchenie domoy,Animation,6.3,79,TV-Y
Fureru,Animation,6.3,37,1h 47m
Bocchi the Rock! Recap Part 1,Animation,7.5,192,1h 30m
Kvitebjørn,Animation,5.9,73,1h 25m
Schirkoa: In Lies We Trust,Animation,5.6,162,1h 43m
Cille 2069,Animation,7.1,95,N/A
Trapezium,Animation,6.3,160,1h 35m
Taisu Xilie,Animation,N/A,160,1h 40m
Hola Frida,Animation,7.2,34,1h 22m
Uma Musume: Pretty Derby - Beginning of a New Era,Animation,7.4,138,1h 48m
Exorcism Chronicles: The Beginning,Animation,6.4,120,1h 25m
The Formula for Water,Animation,4.5,36,1h 26m
Transformers Prime: Galavatron's Revenge,Animation,3.8,13,1h 44m
Maya donne-moi un titre,Animation,6.4,60,1h 1m
