Title,Genre,Rating,Votes,Duration
A Complete Unknown,Biography,7.4,85000,2h 21m
I'm Still Here,Biography,8.2,109000,2h 17m
The Apprentice,Biography,7.1,58000,2h 2m
Queer,Biography,6.4,23000,2h 17m
Queen of the Ring,Biography,6.4,1800,2h 20m
Better Man,Biography,7.6,29000,2h 15m
Saturday Night,Biography,6.9,32000,1h 49m
Maria,Biography,6.4,20000,2h 4m
Nr. 24,Biography,7.5,16000,1h 51m
Bonhoeffer: Pastor. Spy. Assassin.,Biography,6.2,3800,2h 13m
William Tell,Biography,5.7,2800,2h 13m
Ordinary Angels,Biography,7.4,16000,1h 58m
Back to Black,Biography,6.3,27000,2h 2m
Being Maria,Biography,6.1,685,1h 40m
Joy,Biography,7.1,9700,1h 55m
Unfrosted,Biography,5.5,35000,1h 37m
Pavements,Biography,7.2,226,2h 8m
Young Woman and the Sea,Biography,7.5,17000,2h 9m
Reagan,Biography,6.1,11000,2h 21m
Monsieur Aznavour,Biography,7.3,2600,2h 13m
Amaran,Biography,8.1,19000,2h 47m
Bob Marley: One Love,Biography,6.2,35000,1h 47m
Scoop,Biography,6.5,20000,1h 42m
Cabrini,Biography,7.3,9000,2h 22m
Piece by Piece,Biography,6.9,5700,1h 33m
Goebbels and the Führer,Biography,6.7,2400,2h 15m
One to One: John & Yoko,Biography,7.3,504,1h 41m
Stelios,Biography,7.3,1500,2h 12m
Harbin,Biography,6.2,860,1h 48m
Audrey's Children,Biography,7.1,415,1h 50m
Bir Cumhuriyet Sarkisi,Biography,7.5,1200,2h 8m
The Remarkable Life of Ibelin,Biography,8.2,13000,1h 43m
The Fire Inside,Biography,6.7,2700,1h 49m
Winner,Biography,6.5,2600,1h 43m
Faith of Angels,Biography,5.8,265,1h 38m
Rob Peace,Biography,6.5,2200,2h
Riefenstahl,Biography,7.2,734,1h 55m
Super/Man: The Christopher Reeve Story,Biography,8.0,9400,1h 44m
The Great Lillian Hall,Biography,7.3,2000,1h 50m
From Hilde with Love,Biography,6.9,1000,2h 5m
Midas Man,Biography,6.4,1700,1h 52m
The Bibi Files,Biography,7.5,1200,1h 55m
Saint-Exupéry,Biography,5.4,420,1h 38m
Avicii - I'm Tim,Biography,7.7,7200,1h 35m
Limonov: The Ballad of Eddie,Biography,5.9,1000,2h 18m
Chandu Champion,Biography,7.8,34000,2h 22m
Liza: A Truly Terrific Absolutely True Story,Biography,7.7,342,1h 44m
Gundi: Legend of Love,Biography,9.0,5600,2h 46m
Unexplainable,Biography,7.1,286,1h 56m
Maidaan,Biography,7.9,23000,3h 1m
