Title,Genre,Rating,Votes,Duration
The Order,Crime,6.8,47000,1h 56m
Trap,Crime,5.8,142000,1h 45m
Longlegs,Crime,6.6,190000,1h 41m
Juror #2,Crime,7.0,102000,1h 54m
The Beekeeper,Crime,6.3,159000,1h 45m
Freaky Tales,Crime,6.3,6000,1h 47m
Wolfs,Crime,6.5,86000,1h 48m
Carry-On,Crime,6.5,169000,1h 59m
MaXXXine,Crime,6.2,72000,1h 43m
The Seed of the Sacred Fig,Crime,7.6,15000,2h 47m
Love Lies Bleeding,Crime,6.6,58000,1h 44m
Rebel Ridge,Crime,6.8,90000,2h 11m
Emilia Pérez,Crime,5.4,90000,2h 12m
Lucky Baskhar,Crime,8.0,33000,2h 28m
Despicable Me 4,Crime,6.2,67000,1h 34m
Bad Boys: Ride or Die,Crime,6.5,101000,1h 55m
The Crow,Crime,4.7,36000,1h 51m
The Unholy Trinity,Crime,N/A,36000,1h 33m
Monkey Man,Crime,6.8,93000,2h 1m
Riff Raff,Crime,5.7,3500,1h 43m
The Instigators,Crime,6.2,38000,1h 41m
The Girl with the Needle,Crime,7.5,14000,2h 3m
Maharaja,Crime,8.4,69000,2h 21m
Pushpa: The Rule - Part 2,Crime,6.1,57000,3h 21m
The Silent Hour,Crime,6.1,8000,1h 39m
Greedy People,Crime,6.2,12000,1h 52m
Sleeping Dogs,Crime,6.2,22000,1h 50m
Beating Hearts,Crime,7.0,5500,2h 46m
Beverly Hills Cop: Axel F,Crime,6.4,82000,1h 58m
Dead Mail,Crime,6.0,1700,1h 46m
Lift,Crime,5.5,50000,1h 47m
Long Gone Heroes,Crime,5.1,1200,1h 41m
The Thicket,Crime,5.8,3300,1h 48m
Absolution,Crime,5.2,8500,1h 52m
Twilight of the Warriors: Walled In,Crime,7.0,10000,2h 6m
Brothers,Crime,5.4,13000,1h 29m
The Quiet Ones,Crime,6.3,777,1h 50m
Saripodhaa Sanivaaram,Crime,7.0,9500,2h 46m
Lake George,Crime,6.5,1400,1h 58m
The Shadow Strays,Crime,6.5,9500,2h 24m
Damaged,Crime,4.7,7500,1h 37m
