Title,Genre,Rating,Votes,Duration
No Other Land,Documentary,8.3,13000,1h 32m
2073,Documentary,5.0,3000,1h 25m
Pavements,Documentary,7.2,226,2h 8m
Cheech & Chong's Last Movie,Documentary,7.6,228,2h
Secret Mall Apartment,Documentary,7.4,467,1h 31m
Kaizen,Documentary,7.2,699,2h 40m
One to One: John & Yoko,Documentary,7.3,504,1h 41m
The Menendez Brothers,Documentary,7.0,9500,1h 59m
The Remarkable Life of Ibelin,Documentary,8.2,13000,1h 43m
Will & Harper,Documentary,7.4,12000,1h 54m
Black Box Diaries,Documentary,7.5,3600,1h 42m
Soundtrack to a Coup d'Etat,Documentary,7.8,3100,2h 30m
The Blue Angels,Documentary,7.3,2800,1h 33m
Riefenstahl,Documentary,7.2,734,1h 55m
Super/Man: The Christopher Reeve Story,Documentary,8.0,9400,1h 44m
Am I Racist?,Documentary,6.6,17000,1h 40m
Swamp Dogg Gets His Pool Painted,Documentary,8.4,73,1h 35m
The Bibi Files,Documentary,7.5,1200,1h 55m
Sugarcane,Documentary,7.0,3400,1h 47m
A New Kind of Wilderness,Documentary,7.6,1300,1h 24m
The Lost Children,Documentary,7.0,2800,1h 36m
Behind the Lines,Documentary,9.4,22,1h 47m
Buy Now! The Shopping Conspiracy,Documentary,6.7,6600,1h 24m
Bambi: A Tale of Life in the Woods,Documentary,5.6,223,1h 18m
Yacht Rock: A Dockumentary,Documentary,7.6,1900,1h 35m
Grand Theft Hamlet,Documentary,6.9,2100,1h 29m
Lover Stalker Killer,Documentary,7.0,13000,1h 30m
Avicii - I'm Tim,Documentary,7.7,7200,1h 35m
The Thinking Game,Documentary,7.6,242,1h 24m
Afternoons of Solitude,Documentary,7.3,599,2h 5m
What Jennifer Did,Documentary,6.1,11000,1h 27m
E.1027 - Eileen Gray and the House by the Sea,Documentary,6.9,117,1h 29m
The Last Journey,Documentary,7.8,5300,1h 35m
My Wife My Abuser: The Secret Footage,Documentary,7.1,839,55m
Denominación de origen,Documentary,8.3,225,1h 26m
Witches,Documentary,7.4,1300,1h 30m
The Program,Documentary,7.2,782,1h 42m
Liza: A Truly Terrific Absolutely True Story,Documentary,7.7,342,1h 44m
The Bloody Hundredth,Documentary,7.5,2700,1h 2m
Dahomey,Documentary,6.8,2700,1h 8m
The Greatest Night in Pop,Documentary,7.9,15000,1h 36m
The Blair Witch Documentary,Documentary,6.9,38,2h 30m
New Wave,Documentary,7.9,51,1h 28m
Harley Flanagan: Wired for Chaos,Documentary,6.9,12,N/A
Checkpoint Zoo,Documentary,8.2,60,1h 43m
Jim Henson: Idea Man,Documentary,7.7,3900,1h 51m
ABBA: Against the Odds,Documentary,7.3,518,1h 30m
Look Into My Eyes,Documentary,5.4,565,1h 45m
From Roger Moore with Love,Documentary,7.3,408,1h 19m
Garbo: Where Did You Go?,Documentary,5.9,187,1h 30m
Porcelain War,Documentary,7.1,1200,1h 27m
Billy & Molly: An Otter Love Story,Documentary,8.0,2000,1h 17m
The Flats,Documentary,6.5,74,1h 54m
Every Little Thing,Documentary,7.0,291,1h 33m
Drop Dead City,Documentary,7.9,23,1h 48m
We Will Dance Again,Documentary,7.6,11000,1h 30m
Music by John Williams,Documentary,8.2,4900,1h 45m
Marcella,Documentary,9.0,29,1h 37m
Daughters,Documentary,7.6,1700,1h 48m
