Title,Genre,Rating,Votes,Duration
The Brutalist,Drama,7.4,87000,3h 36m
Conclave,Drama,7.4,191000,2h
Gladiator II,Drama,6.5,242000,2h 28m
A Complete Unknown,Drama,7.4,85000,2h 21m
Anora,Drama,7.5,195000,2h 19m
The Substance,Drama,7.2,309000,2h 21m
Babygirl,Drama,5.9,60000,1h 54m
Dune: Part Two,Drama,8.5,634000,2h 46m
The Assessment,Drama,6.7,8600,1h 54m
Speak No Evil,Drama,6.8,106000,1h 50m
The Life of Chuck,Drama,7.5,729,1h 50m
I'm Still Here,Drama,8.2,109000,2h 17m
The Last Showgirl,Drama,6.5,13000,1h 28m
The Order,Drama,6.8,47000,1h 56m
Small Things Like These,Drama,6.8,25000,1h 38m
A Real Pain,Drama,7.1,100000,1h 30m
Mufasa: The Lion King,Drama,6.6,68000,1h 58m
Presence,Drama,6.1,24000,1h 24m
We Live in Time,Drama,7.0,54000,1h 48m
Juror #2,Drama,7.0,102000,1h 54m
Freaky Tales,Drama,6.3,6000,1h 47m
The Salt Path,Drama,7.3,640,1h 55m
The Fall Guy,Drama,6.8,224000,2h 6m
The Count of Monte-Cristo,Drama,7.6,36000,2h 58m
It Ends with Us,Drama,6.3,87000,2h 10m
The Apprentice,Drama,7.1,58000,2h 2m
Parthenope,Drama,6.6,13000,2h 17m
The Uninvited,Drama,5.4,493,1h 37m
Queer,Drama,6.4,23000,2h 17m
Queen of the Ring,Drama,6.4,1800,2h 20m
Road House,Drama,6.2,169000,2h 1m
Challengers,Drama,7.0,157000,2h 11m
A Different Man,Drama,6.9,30000,1h 52m
Caddo Lake,Drama,6.8,44000,1h 43m
The Friend,Drama,6.4,2400,1h 59m
Megalopolis,Drama,4.7,37000,2h 18m
The Damned,Drama,5.7,5000,1h 29m
Arcadian,Drama,5.5,24000,1h 32m
The Seed of the Sacred Fig,Drama,7.6,15000,2h 47m
The Penguin Lessons,Drama,7.1,3500,1h 51m
The Idea of You,Drama,6.3,74000,1h 55m
September 5,Drama,7.1,25000,1h 35m
Love Lies Bleeding,Drama,6.6,58000,1h 44m
Rebel Ridge,Drama,6.8,90000,2h 11m
Joker: Folie à Deux,Drama,5.2,163000,2h 18m
Inside Out 2,Drama,7.5,219000,1h 36m
The Return,Drama,6.2,9600,1h 56m
Homestead,Drama,5.3,3900,1h 52m
Saturday Night,Drama,6.9,32000,1h 49m
Emilia Pérez,Drama,5.4,90000,2h 12m
The Room Next Door,Drama,6.8,22000,1h 47m
A Quiet Place: Day One,Drama,6.3,152000,1h 39m
Horizon: An American Saga - Chapter 1,Drama,6.6,41000,3h 1m
A Nice Indian Boy,Drama,7.5,1400,1h 36m
Here,Drama,6.3,22000,1h 44m
Lucky Baskhar,Drama,8.0,33000,2h 28m
Kinds of Kindness,Drama,6.5,60000,2h 44m
IF,Drama,6.4,59000,1h 44m
On Swift Horses,Drama,6.3,1200,1h 59m
Nickel Boys,Drama,6.9,20000,2h 20m
Winter Spring Summer or Fall,Drama,6.0,2500,1h 37m
Kingdom of the Planet of the Apes,Drama,6.9,153000,2h 25m
Mr. K,Drama,5.6,850,1h 34m
My Old Ass,Drama,6.9,40000,1h 29m
The Lord of the Rings: The War of the Rohirrim,Drama,6.3,32000,2h 14m
I Saw the TV Glow,Drama,5.8,37000,1h 40m
Ask Me What You Want,Drama,3.8,1100,1h 54m
The Six Triple Eight,Drama,6.7,27000,2h 7m
The Outrun,Drama,6.9,16000,1h 58m
Kneecap,Drama,7.6,19000,1h 45m
Superboys of Malegaon,Drama,7.7,4900,2h 7m
