Title,Genre,Rating,Votes,Duration
Mufasa: The Lion King,Family,6.6,68000,1h 58m
Paddington in Peru,Family,6.7,24000,1h 46m
Moana 2,Family,6.6,106000,1h 40m
Flow,Family,7.9,80000,1h 25m
Sonic the Hedgehog 3,Family,6.9,62000,1h 50m
Transformers One,Family,7.6,52000,1h 44m
Inside Out 2,Family,7.5,219000,1h 36m
IF,Family,6.4,59000,1h 44m
The Day the Earth Blew Up: A Looney Tunes Movie,Family,7.0,4900,1h 31m
Despicable Me 4,Family,6.2,67000,1h 34m
Kung Fu Panda 4,Family,6.3,69000,1h 34m
Wallace & Gromit: Vengeance Most Fowl,Family,7.5,35000,1h 22m
How to Make Millions Before Grandma Dies,Family,8.0,16000,2h 5m
The Garfield Movie,Family,5.7,24000,1h 41m
Young Hearts,Family,8.0,5100,1h 39m
Harold and the Purple Crayon,Family,5.7,8600,1h 30m
Spellbound,Family,5.5,7700,1h 49m
The Forge,Family,6.7,5000,2h 4m
Descendants: The Rise of Red,Family,4.7,7200,1h 31m
Orion and the Dark,Family,6.3,17000,1h 33m
Unsung Hero,Family,7.0,5100,1h 53m
My Penguin Friend,Family,6.8,5500,1h 37m
Piece by Piece,Family,6.9,5700,1h 33m
Night of the Zoopocalypse,Family,6.0,825,1h 31m
Crayon Shin-chan: Ora's Dinosaur Diary,Family,6.6,538,1h 46m
Doraemon the Movie: Nobita's Earth Symphony,Family,6.6,1500,1h 55m
Meiyazhagan,Family,8.4,15000,2h 57m
Faith of Angels,Family,5.8,265,1h 38m
That Christmas,Family,6.8,17000,1h 31m
Hitpig,Family,5.1,1000,1h 26m
Thelma the Unicorn,Family,5.7,3000,1h 33m
Panda Plan,Family,5.1,1400,1h 39m
You Gotta Believe,Family,5.8,1300,1h 44m
Megamind vs. The Doom Syndicate,Family,2.5,5600,1h 23m
Bibi Rajni,Family,8.5,724,2h 23m
Bambi: A Tale of Life in the Woods,Family,5.6,223,1h 18m
Ultraman: Rising,Family,6.9,6500,1h 57m
Big World,Family,7.3,1400,2h 11m
Ghost Cat Anzu,Family,6.5,831,1h 37m
Woodwalkers,Family,5.3,481,1h 43m
Buffalo Kids,Family,6.6,744,1h 33m
Dalia and the Red Book,Family,5.9,132,1h 47m
And the Breadwinner Is...,Family,6.7,281,2h 3m
Robin and the Hoods,Family,4.3,532,1h 40m
Man and Witch: The Dance of a Thousand Steps,Family,5.5,339,1h 34m
10 Lives,Family,5.9,2000,1h 28m
Runt,Family,6.4,554,1h 31m
Dongeng Sang Kancil,Family,6.7,201,1h 39m
The Tiger's Apprentice,Family,5.7,2200,1h 24m
Véletlenül írtam egy könyvet,Family,7.4,676,1h 38m
Saving Bikini Bottom: The Sandy Cheeks Movie,Family,3.7,3900,1h 22m
The Groomsmen: First Look,Family,6.1,395,1h 22m
Noah's Ark,Family,4.3,682,1h 36m
Believe in Christmas,Family,6.1,842,1h 30m
A Sudden Case of Christmas,Family,5.1,1100,1h 31m
2nd Miracle in Cell No. 7,Family,7.4,315,2h 27m
