Title,Genre,Rating,Votes,Duration
Nosferatu,Fantasy,7.2,203000,2h 12m
Beetlejuice Beetlejuice,Fantasy,6.6,152000,1h 45m
Wicked,Fantasy,7.5,163000,2h 40m
The Life of Chuck,Fantasy,7.5,729,1h 50m
Moana 2,Fantasy,6.6,106000,1h 40m
Flow,Fantasy,7.9,80000,1h 25m
Sonic the Hedgehog 3,Fantasy,6.9,62000,1h 50m
Parthenope,Fantasy,6.6,13000,2h 17m
Better Man,Fantasy,7.6,29000,2h 15m
Megalopolis,Fantasy,4.7,37000,2h 18m
Transformers One,Fantasy,7.6,52000,1h 44m
Inside Out 2,Fantasy,7.5,219000,1h 36m
Godzilla x Kong: The New Empire,Fantasy,6.0,123000,1h 55m
IF,Fantasy,6.4,59000,1h 44m
The Crow,Fantasy,4.7,36000,1h 51m
The Lord of the Rings: The War of the Rohirrim,Fantasy,6.3,32000,2h 14m
Red One,Fantasy,6.3,141000,2h 3m
Ghostbusters: Frozen Empire,Fantasy,6.1,94000,1h 55m
Kung Fu Panda 4,Fantasy,6.3,69000,1h 34m
The Watchers,Fantasy,5.7,58000,1h 42m
Damsel,Fantasy,6.1,110000,1h 50m
Uglies,Fantasy,4.7,33000,1h 40m
Tim Travers & the Time Travelers Paradox,Fantasy,6.8,295,1h 35m
The Wonderful Story of Henry Sugar and Three More,Fantasy,7.1,7300,1h 28m
The Garfield Movie,Fantasy,5.7,24000,1h 41m
The End,Fantasy,5.5,2100,2h 28m
Harold and the Purple Crayon,Fantasy,5.7,8600,1h 30m
Solo Leveling: ReAwakening,Fantasy,8.8,13000,2h 1m
Kalki 2898 AD,Fantasy,7.0,67000,3h
Rebel Moon - Part Two: The Scargiver,Fantasy,5.3,60000,2h 2m
Girl Haunts Boy,Fantasy,6.3,3200,1h 40m
Spellbound,Fantasy,5.5,7700,1h 49m
Monster Summer,Fantasy,5.7,3900,1h 37m
Descendants: The Rise of Red,Fantasy,4.7,7200,1h 31m
Orion and the Dark,Fantasy,6.3,17000,1h 33m
The Master and Margarita,Fantasy,7.2,4800,2h 36m
The Tearsmith,Fantasy,5.2,13000,1h 43m
Dear Santa,Fantasy,5.4,19000,1h 47m
Night of the Zoopocalypse,Fantasy,6.0,825,1h 31m
Doraemon the Movie: Nobita's Earth Symphony,Fantasy,6.6,1500,1h 55m
The Balconettes,Fantasy,5.9,1200,1h 44m
Irish Wish,Fantasy,5.2,22000,1h 33m
Happyend,Fantasy,7.0,739,1h 53m
Sketch,Fantasy,8.2,61,1h 32m
My Future You,Fantasy,7.4,205,1h 49m
Family Pack,Fantasy,5.5,9400,1h 34m
Justice League: Crisis on Infinite Earths - Part Three,Fantasy,6.1,4700,1h 34m
The Black Hole,Fantasy,6.1,195,1h 55m
That Christmas,Fantasy,6.8,17000,1h 31m
Thelma the Unicorn,Fantasy,5.7,3000,1h 33m
Dan Da Dan: First Encounter,Fantasy,8.2,2800,1h 23m
Justice League: Crisis on Infinite Earths - Part One,Fantasy,6.2,8600,1h 33m
The American Society of Magical Negroes,Fantasy,3.8,12000,1h 44m
Hot Frosty,Fantasy,5.3,15000,1h 32m
Pedro Páramo,Fantasy,6.3,3100,2h 10m
The Best Christmas Pageant Ever,Fantasy,6.8,6200,1h 39m
The Invisibles,Fantasy,5.8,525,1h 51m
Bhool Bhulaiyaa 3,Fantasy,4.6,78000,2h 38m
Ultraman: Rising,Fantasy,6.9,6500,1h 57m
Hagen,Fantasy,6.0,1300,2h 19m
Justice League: Crisis on Infinite Earths - Part Two,Fantasy,5.5,5500,1h 34m
Overlord: The Sacred Kingdom,Fantasy,6.9,1300,2h 15m
The Hallowed Knight,Fantasy,6.6,20,1h 31m
This Is Me... Now,Fantasy,4.1,7200,1h 5m
Ghost Cat Anzu,Fantasy,6.5,831,1h 37m
Dragonkeeper,Fantasy,5.7,1700,1h 38m
Woodwalkers,Fantasy,5.3,481,1h 43m
Buffalo Kids,Fantasy,6.6,744,1h 33m
Hanu Man,Fantasy,7.7,29000,2h 38m
Dalia and the Red Book,Fantasy,5.9,132,1h 47m
The Witch: Revenge,Fantasy,5.3,854,1h 40m
A.R.M,Fantasy,7.1,8800,2h 30m
Harry Potter and the Stone,Fantasy,7.8,173,2h 32m
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Fantasy,7.2,8700,1h 44m
Robin and the Hoods,Fantasy,4.3,532,1h 40m
Man and Witch: The Dance of a Thousand Steps,Fantasy,5.5,339,1h 34m
