Title,Genre,Rating,Votes,Duration
I'm Still Here,History,8.2,109000,2h 17m
Small Things Like These,History,6.8,25000,1h 38m
The Apprentice,History,7.1,58000,2h 2m
Queer,History,6.4,23000,2h 17m
September 5,History,7.1,25000,1h 35m
The Return,History,6.2,9600,1h 56m
Saturday Night,History,6.9,32000,1h 49m
The Six Triple Eight,History,6.7,27000,2h 7m
The Girl with the Needle,History,7.5,14000,2h 3m
Blitz,History,6.2,17000,2h
Bonhoeffer: Pastor. Spy. Assassin.,History,6.2,3800,2h 13m
William Tell,History,5.7,2800,2h 13m
Vermiglio,History,6.9,4500,1h 59m
Lilies Not for Me,History,7.1,507,1h 39m
Being Maria,History,6.1,687,1h 40m
Joy,History,7.1,9700,1h 55m
Unfrosted,History,5.5,35000,1h 37m
The Children's Train,History,7.4,7500,1h 46m
Reagan,History,6.1,11000,2h 21m
Grand Tour,History,6.5,2000,2h 9m
The Devil's Bath,History,6.6,6500,2h 1m
In Her Place,History,6.2,3200,1h 36m
Waves,History,8.0,1900,2h 11m
Harvest,History,6.1,412,2h 11m
11 Rebels,History,6.2,554,2h 35m
Goebbels and the Führer,History,6.7,2400,2h 15m
Uprising,History,6.6,5700,2h 6m
Harbin,History,6.2,860,1h 48m
Bir Cumhuriyet Sarkisi,History,7.5,1200,2h 8m
The New Year That Never Came,History,8.2,5300,2h 18m
From Hilde with Love,History,6.9,1000,2h 5m
No Chains No Masters,History,6.4,618,1h 38m
Saint-Exupéry,History,5.4,420,1h 38m
The Damned,History,5.4,889,1h 29m
Bibi Rajni,History,8.5,724,2h 23m
Escape from Germany,History,5.4,1000,1h 37m
The Last Front,History,5.5,623,1h 38m
Limonov: The Ballad of Eddie,History,5.9,1000,2h 18m
Chandu Champion,History,7.8,34000,2h 22m
Witches,History,7.4,1300,1h 30m
Seize Them!,History,5.1,1200,1h 31m
Sucha Soorma,History,6.3,938,2h 16m
Maidaan,History,7.9,23000,3h 1m
Maharaj,History,6.5,15000,2h 11m
ABBA: Against the Odds,History,7.3,519,1h 30m
Atatürk II: 1881-1919,History,8.9,2200,2h 21m
The Flood,History,6.3,329,1h 41m
Quisling: The Final Days,History,7.1,1200,2h 26m
Drop Dead City,History,7.9,23,1h 48m
This Is the Goat!,History,5.3,314,1h 40m
Intoxicated by Love,History,8.5,13000,1h 58m
Kingdom 4: Return of the Great General,History,7.1,1400,2h 25m
Ernest Cole: Lost and Found,History,7.2,373,1h 45m
Bahodir Yalangto'sh,History,7.2,124,N/A
Gladiators,History,4.5,103,1h 35m
Thangalaan,History,6.6,6700,2h 36m
Golden Kamuy,History,6.3,2600,2h 7m
Before Dawn,History,5.4,1100,1h 41m
The Great Ambition,History,7.2,760,2h 3m
Bushido,History,6.9,484,2h 9m
Gloria!,History,6.6,1000,1h 46m
John Brown the Advocate,History,9.6,10,N/A
The Commandant's Shadow,History,7.3,1100,1h 43m
Shirley,History,6.2,3400,1h 57m
Ka Whawhai Tonu,History,7.3,188,1h 55m
Something to Stand for with Mike Rowe,History,8.6,296,1h 36m
Color of Victory,History,6.1,40000,2h 37m
Le quatrième mur,History,6.4,131,1h 56m
Meeting with Pol Pot,History,6.4,422,1h 52m
Accident or Conspiracy: Godhra,History,7.4,786,2h 13m
From Darkness to Light,History,7.4,211,1h 48m
