Title,Genre,Rating,Votes,Duration
The Substance,Horror,7.2,309000,2h 21m
Nosferatu,Horror,7.2,203000,2h 12m
Heretic,Horror,7.0,149000,1h 51m
Beetlejuice Beetlejuice,Horror,6.6,152000,1h 45m
Speak No Evil,Horror,6.8,106000,1h 50m
Trap,Horror,5.8,142000,1h 45m
Alien: Romulus,Horror,7.1,249000,1h 59m
Longlegs,Horror,6.6,190000,1h 41m
Presence,Horror,6.1,24000,1h 24m
Smile 2,Horror,6.7,110000,2h 7m
Abigail,Horror,6.5,99000,1h 49m
Terrifier 3,Horror,6.3,50000,2h 5m
MaXXXine,Horror,6.2,72000,1h 43m
Oddity,Horror,6.7,45000,1h 38m
The Damned,Horror,5.7,5000,1h 29m
Arcadian,Horror,5.5,24000,1h 32m
Salem's Lot,Horror,5.6,34000,1h 54m
Y2K,Horror,4.8,16000,1h 31m
A Quiet Place: Day One,Horror,6.3,152000,1h 39m
Kinds of Kindness,Horror,6.5,60000,2h 44m
The Crow,Horror,4.7,36000,1h 51m
Cuckoo,Horror,5.7,28000,1h 42m
The Watchers,Horror,5.7,58000,1h 42m
Azrael,Horror,5.4,12000,1h 26m
The Shrouds,Horror,6.0,2500,2h
The Rule of Jenny Pen,Horror,6.2,5300,1h 44m
The Last Breath,Horror,4.7,2300,1h 36m
Don't Move,Horror,5.8,40000,1h 32m
Immaculate,Horror,5.8,54000,1h 29m
Nightbitch,Horror,5.5,20000,1h 39m
The First Omen,Horror,6.5,65000,1h 59m
Never Let Go,Horror,5.4,16000,1h 41m
MadS,Horror,6.4,8300,1h 29m
Bagman,Horror,4.7,6000,1h 33m
Get Away,Horror,5.3,7300,1h 26m
Apocalypse Z: The Beginning of the End,Horror,6.1,20000,1h 57m
In a Violent Nature,Horror,5.6,27000,1h 34m
Tarot,Horror,4.8,32000,1h 32m
Hellboy: The Crooked Man,Horror,4.5,14000,1h 39m
Time Cut,Horror,5.0,19000,1h 31m
I Don't Understand You,Horror,7.0,91,1h 36m
Werewolves,Horror,4.4,7300,1h 33m
Frewaka,Horror,6.2,1100,1h 43m
Night Swim,Horror,4.7,28000,1h 38m
Exhuma,Horror,6.9,24000,2h 14m
