Title,Genre,Rating,Votes,Duration
Wicked,Musical,7.5,163000,2h 40m
Mufasa: The Lion King,Musical,6.6,68000,1h 58m
Moana 2,Musical,6.6,106000,1h 40m
Better Man,Musical,7.6,29000,2h 15m
Joker: Folie à Deux,Musical,5.2,163000,2h 18m
Emilia Pérez,Musical,5.4,90000,2h 12m
Mean Girls,Musical,5.5,37000,1h 52m
The End,Musical,5.5,2100,2h 28m
Girl from the North Country,Musical,7.5,51,2h 32m
Spermageddon,Musical,5.7,938,1h 20m
Spellbound,Musical,5.5,7700,1h 49m
Descendants: The Rise of Red,Musical,4.7,7200,1h 31m
Piece by Piece,Musical,6.9,5700,1h 33m
Thelma the Unicorn,Musical,5.7,3000,1h 33m
The Merry Gentlemen,Musical,4.8,10000,1h 27m
This Is Me... Now,Musical,4.1,7200,1h 5m
How Could I Live Without You?,Musical,6.9,1000,1h 45m
Dongeng Sang Kancil,Musical,6.7,201,1h 39m
Noah's Ark,Musical,4.3,682,1h 36m
The Deb,Musical,7.5,72,2h 1m
Bonnie and Clyde: The Musical,Musical,7.6,106,2h 30m
The Night Before Christmas in Wonderland,Musical,6.3,524,1h 20m
Gaga Chromatica Ball,Musical,8.1,2000,1h 57m
Indian 2,Musical,3.8,16000,N/A
First Nights at Freddy's,Musical,9.4,18,1h 38m
Victory,Musical,6.4,318,2h
Kiss Me Kate: The Musical,Musical,7.8,29,2h 41m
Varshangalkku Shesham,Musical,6.6,4200,2h 46m
Queens of Drama,Musical,6.3,207,1h 54m
The Opera!,Musical,6.4,116,1h 46m
Magic,Musical,N/A,116,1h 30m
Chainsaws Were Singing,Musical,7.2,381,1h 57m
O Melhor Amigo,Musical,7.2,71,1h 36m
Joli joli,Musical,5.5,121,1h 56m
Petta Rap,Musical,4.2,1700,2h 3m
Polvo serán,Musical,6.6,301,1h 46m
Shannon Matthews the Musical the Movie,Musical,7.5,201,1h 31m
Fox & Hare Save the Forest,Musical,5.9,210,1h 11m
Trapezium,Musical,6.3,160,1h 35m
Magic,Musical,N/A,160,N/A
Benjamin Bat,Musical,7.8,33,1h 15m
