Title,Genre,Rating,Votes,Duration
Nosferatu,Mystery,7.2,203000,2h 12m
Trap,Mystery,5.8,142000,1h 45m
Blink Twice,Mystery,6.5,109000,1h 42m
Paddington in Peru,Mystery,6.7,24000,1h 46m
Juror #2,Mystery,7.0,102000,1h 54m
Smile 2,Mystery,6.7,110000,2h 7m
Caddo Lake,Mystery,6.8,44000,1h 43m
The Damned,Mystery,5.7,5000,1h 29m
Love Lies Bleeding,Mystery,6.6,58000,1h 44m
It's What's Inside,Mystery,6.6,43000,1h 43m
Mr. K,Mystery,5.6,853,1h 34m
I Saw the TV Glow,Mystery,5.8,37000,1h 40m
Red One,Mystery,6.3,141000,2h 3m
Cuckoo,Mystery,5.7,28000,1h 42m
The Watchers,Mystery,5.7,58000,1h 42m
The Instigators,Mystery,6.2,38000,1h 41m
The Rule of Jenny Pen,Mystery,6.2,5300,1h 44m
Sleeping Dogs,Mystery,6.2,22000,1h 50m
Hellboy: The Crooked Man,Mystery,4.5,14000,1h 39m
Time Cut,Mystery,5.0,19000,1h 31m
Night Swim,Mystery,4.7,28000,1h 38m
Exhuma,Mystery,6.9,24000,2h 14m
Turtles All the Way Down,Mystery,6.6,7200,1h 51m
Afraid,Mystery,5.2,14000,1h 24m
The Deliverance,Mystery,5.1,23000,1h 52m
Long Gone Heroes,Mystery,5.1,1200,1h 41m
Kryptic,Mystery,4.1,482,1h 42m
A Sacrifice,Mystery,5.0,5600,1h 34m
Die Alone,Mystery,5.7,3600,1h 30m
Absolution,Mystery,5.2,8500,1h 52m
Kishkindha Kaandam,Mystery,8.0,12000,2h 13m
Monster Summer,Mystery,5.7,3900,1h 37m
Witchboard,Mystery,7.6,98,1h 55m
The Girl in the Pool,Mystery,4.3,1500,1h 29m
Slingshot,Mystery,5.7,9900,1h 48m
Orion and the Dark,Mystery,6.3,17000,1h 33m
Damaged,Mystery,4.7,7500,1h 37m
Skincare,Mystery,5.7,4600,1h 36m
F*** Marry Kill,Mystery,5.3,2700,1h 37m
The Ruse,Mystery,7.0,269,1h 45m
Do Patti,Mystery,6.4,69000,2h 6m
Boneyard,Mystery,4.1,5100,1h 36m
Force of Nature: The Dry 2,Mystery,5.8,7300,2h
Classified,Mystery,3.7,2700,1h 45m
Killer Heat,Mystery,5.6,14000,1h 35m
Watchmen: Chapter I,Mystery,7.1,6800,1h 23m
Sookshma Darshini,Mystery,7.8,11000,2h 22m
Blackwater Lane,Mystery,4.6,2200,1h 48m
Sikandar Ka Muqaddar,Mystery,6.0,24000,2h 22m
Detained,Mystery,4.9,1700,1h 37m
Imaginary,Mystery,4.7,17000,1h 44m
The Soul Eater,Mystery,5.9,2800,1h 48m
Watchmen: Chapter II,Mystery,7.0,3300,1h 30m
Bone Lake,Mystery,N/A,3300,1h 34m
Dan Da Dan: First Encounter,Mystery,8.2,2800,1h 23m
Golam,Mystery,7.2,5800,2h
Depravity,Mystery,4.3,1100,1h 57m
Reunion,Mystery,5.6,3600,1h 30m
Badland Hunters,Mystery,5.9,12000,1h 47m
The Price of Money: A Largo Winch Adventure,Mystery,5.1,1200,1h 40m
Thalavan,Mystery,7.2,4800,2h 11m
Outbreak,Mystery,4.4,870,1h 28m
Pedro Páramo,Mystery,6.3,3100,2h 10m
Colors of Evil: Red,Mystery,6.4,8600,1h 51m
Anweshippin Kandethum,Mystery,7.4,10000,2h 22m
The Best Christmas Pageant Ever,Mystery,6.8,6200,1h 39m
Drive Back,Mystery,4.5,569,1h 34m
Handling the Undead,Mystery,5.3,4500,1h 37m
Bougainvillea,Mystery,6.4,3300,2h 18m
Saint Clare,Mystery,7.5,92,1h 32m
Salawahan,Mystery,5.2,473,1h 56m
Hidden Face,Mystery,6.2,583,1h 55m
Karma,Mystery,7.8,1400,2h 47m
Rippy,Mystery,4.2,933,1h 23m
#AMFAD: All My Friends Are Dead,Mystery,4.5,1300,1h 31m
Bloodline Killer,Mystery,4.2,4900,1h 45m
American Star,Mystery,5.5,2500,1h 47m
Cult Killer,Mystery,4.8,2800,1h 45m
Crescent City,Mystery,3.9,1400,1h 43m
The Dead Thing,Mystery,4.7,976,1h 34m
Merry Christmas,Mystery,6.9,30000,2h 24m
Chapter 51,Mystery,N/A,30000,2h
Gazer,Mystery,6.1,181,1h 54m
Cinderella's Revenge,Mystery,3.8,1200,1h 25m
Chapel,Mystery,3.3,196,1h 32m
Cinderella's Curse,Mystery,3.3,1300,1h 22m
Drugstore June,Mystery,5.4,1800,1h 31m
The Tiger's Apprentice,Mystery,5.7,2200,1h 24m
Transamazonia,Mystery,6.1,76,1h 52m
Revolver,Mystery,5.4,907,1h 54m
Murder Mubarak,Mystery,5.8,51000,2h 20m
Following,Mystery,6.5,1400,1h 42m
Inheritance,Mystery,5.1,3600,1h 34m
Cellphone,Mystery,3.0,738,1h 28m
The Stalking,Mystery,3.5,48,1h 12m
A Place Called Silence,Mystery,6.5,1300,1h 59m
