Title,Genre,Rating,Votes,Duration
Anora,Romance,7.5,195000,2h 19m
Babygirl,Romance,5.9,60000,1h 54m
Wicked,Romance,7.5,163000,2h 40m
We Live in Time,Romance,7.0,54000,1h 48m
The Fall Guy,Romance,6.8,224000,2h 6m
The Count of Monte-Cristo,Romance,7.6,36000,2h 58m
It Ends with Us,Romance,6.3,87000,2h 10m
Queer,Romance,6.4,23000,2h 17m
Challengers,Romance,7.0,157000,2h 11m
Jane Austen Wrecked My Life,Romance,6.3,320,1h 38m
The Idea of You,Romance,6.3,74000,1h 55m
Love Lies Bleeding,Romance,6.6,58000,1h 44m
A Nice Indian Boy,Romance,7.5,1400,1h 36m
On Swift Horses,Romance,6.3,1200,1h 59m
The Crow,Romance,4.7,36000,1h 51m
Fly Me to the Moon,Romance,6.6,51000,2h 12m
Winter Spring Summer or Fall,Romance,6.0,2500,1h 37m
My Old Ass,Romance,6.9,40000,1h 29m
Ask Me What You Want,Romance,3.8,1100,1h 54m
All We Imagine as Light,Romance,7.1,10000,1h 58m
A Family Affair,Romance,5.4,37000,1h 51m
Beating Hearts,Romance,7.0,5500,2h 46m
Emmanuelle,Romance,4.1,1800,1h 47m
Culpa Tuya,Romance,5.2,14000,1h 58m
Turtles All the Way Down,Romance,6.6,7200,1h 51m
La cocina,Romance,7.1,3300,2h 19m
Sidelined: The QB and Me,Romance,5.9,3900,1h 39m
Upgraded,Romance,6.1,30000,1h 44m
Bonjour Tristesse,Romance,6.1,263,1h 50m
Lilies Not for Me,Romance,7.1,507,1h 39m
Your Monster,Romance,6.4,6000,1h 43m
Die Alone,Romance,5.7,3600,1h 30m
Girl Haunts Boy,Romance,6.3,3200,1h 40m
Lisa Frankenstein,Romance,6.1,28000,1h 41m
Young Woman and the Sea,Romance,7.5,17000,2h 9m
Boot Camp,Romance,5.8,1200,1h 34m
Lonely Planet,Romance,5.7,12000,1h 34m
Loveable,Romance,7.7,2200,1h 41m
Love Me,Romance,5.1,2600,1h 31m
The Master and Margarita,Romance,7.2,4800,2h 36m
Grand Tour,Romance,6.5,2000,2h 9m
The Tearsmith,Romance,5.2,13000,1h 43m
Touch,Romance,7.4,5700,2h 1m
Sex,Romance,6.5,1300,1h 58m
F*** Marry Kill,Romance,5.3,2700,1h 37m
Dreams (Sex Love),Romance,7.5,612,1h 50m
Lick,Romance,6.2,868,1h 15m
Killer Heat,Romance,5.6,14000,1h 35m
Mon Potongo,Romance,6.7,422,2h 29m
Mother of the Bride,Romance,4.8,17000,1h 28m
Find Me Falling,Romance,6.3,13000,1h 33m
Mor Chhainha Bhuinya 2,Romance,8.5,95,2h 40m
Girls Will Be Girls,Romance,7.1,2600,1h 58m
Grafted,Romance,5.6,2500,1h 36m
Teri Baaton Mein Aisa Uljha Jiya,Romance,6.2,54000,2h 21m
How to Date Billy Walsh,Romance,5.2,4000,1h 38m
Role Play,Romance,5.5,19000,1h 40m
Our Little Secret,Romance,5.7,24000,1h 41m
Love,Romance,7.3,463,1h 59m
My Favourite Cake,Romance,7.4,7500,1h 37m
Someone Like You,Romance,5.8,2200,1h 58m
The Greatest Hits,Romance,6.2,7600,1h 34m
Irish Wish,Romance,5.2,22000,1h 33m
Love Across Time,Romance,7.1,706,1h
My Future You,Romance,7.4,205,1h 49m
The Astronaut Lovers,Romance,7.1,825,1h 56m
Vulgar,Romance,5.5,159,1h 43m
Daniela Forever,Romance,6.1,228,1h 53m
High Tide,Romance,6.7,621,1h 41m
Beautiful Wedding,Romance,4.1,4300,1h 40m
Love in the Big City,Romance,7.4,1600,1h 58m
Private Tutor,Romance,4.9,208,1h 5m
You Are the Apple of My Eye,Romance,7.1,3600,1h 41m
Through My Window: Looking at You,Romance,5.4,5400,1h 45m
Romance on the Ranch,Romance,6.8,370,1h 28m
Chosen Family,Romance,4.8,478,1h 28m
Premalu,Romance,7.8,20000,2h 36m
The Family Star,Romance,5.4,5600,2h 39m
Turn Me On,Romance,5.6,611,1h 39m
The Merry Gentlemen,Romance,4.8,10000,1h 27m
Hot Frosty,Romance,5.3,15000,1h 32m
