Title,Genre,Rating,Votes,Duration
The Wild Robot,Sci-Fi,8.2,171000,1h 42m
The Substance,Sci-Fi,7.2,309000,2h 21m
Dune: Part Two,Sci-Fi,8.5,634000,2h 46m
The Assessment,Sci-Fi,6.7,8600,1h 54m
The Life of Chuck,Sci-Fi,7.5,729,1h 50m
Venom: The Last Dance,Sci-Fi,6.0,124000,1h 50m
Deadpool & Wolverine,Sci-Fi,7.5,501000,2h 8m
Alien: Romulus,Sci-Fi,7.1,249000,1h 59m
Sonic the Hedgehog 3,Sci-Fi,6.9,62000,1h 50m
Furiosa: A Mad Max Saga,Sci-Fi,7.5,288000,2h 28m
Caddo Lake,Sci-Fi,6.8,44000,1h 43m
Megalopolis,Sci-Fi,4.7,37000,2h 18m
Subservience,Sci-Fi,5.4,29000,1h 46m
Arcadian,Sci-Fi,5.5,24000,1h 32m
Borderlands,Sci-Fi,4.7,50000,1h 41m
Transformers One,Sci-Fi,7.6,52000,1h 44m
Y2K,Sci-Fi,4.8,16000,1h 31m
A Quiet Place: Day One,Sci-Fi,6.3,152000,1h 39m
Godzilla x Kong: The New Empire,Sci-Fi,6.0,123000,1h 55m
The Day the Earth Blew Up: A Looney Tunes Movie,Sci-Fi,7.0,4900,1h 31m
Despicable Me 4,Sci-Fi,6.2,67000,1h 34m
It's What's Inside,Sci-Fi,6.6,43000,1h 43m
Kingdom of the Planet of the Apes,Sci-Fi,6.9,153000,2h 25m
Elevation,Sci-Fi,5.6,23000,1h 31m
Ghostbusters: Frozen Empire,Sci-Fi,6.1,94000,1h 55m
The Shrouds,Sci-Fi,6.0,2500,2h
Uglies,Sci-Fi,4.7,33000,1h 40m
Wallace & Gromit: Vengeance Most Fowl,Sci-Fi,7.5,35000,1h 22m
Tim Travers & the Time Travelers Paradox,Sci-Fi,6.8,295,1h 35m
Spaceman,Sci-Fi,5.7,43000,1h 47m
Apocalypse Z: The Beginning of the End,Sci-Fi,6.1,20000,1h 57m
Time Cut,Sci-Fi,5.0,19000,1h 31m
The End,Sci-Fi,5.5,2100,2h 28m
Werewolves,Sci-Fi,4.4,7300,1h 33m
Afraid,Sci-Fi,5.2,14000,1h 24m
Atlas,Sci-Fi,5.6,56000,1h 58m
40 Acres,Sci-Fi,7.0,195,1h 53m
Survive,Sci-Fi,4.5,2900,1h 30m
Kalki 2898 AD,Sci-Fi,7.0,67000,3h
Rebel Moon - Part Two: The Scargiver,Sci-Fi,5.3,60000,2h 2m
Die Alone,Sci-Fi,5.7,3600,1h 30m
Slingshot,Sci-Fi,5.7,9900,1h 48m
Love Me,Sci-Fi,5.1,2600,1h 31m
The Platform 2,Sci-Fi,4.9,41000,1h 39m
Distant,Sci-Fi,5.7,3400,1h 27m
Rich Flu,Sci-Fi,5.2,6100,1h 56m
Night of the Zoopocalypse,Sci-Fi,6.0,825,1h 31m
Omni Loop,Sci-Fi,5.6,3100,1h 52m
Watchmen: Chapter I,Sci-Fi,7.1,6800,1h 23m
Sting,Sci-Fi,5.7,17000,1h 31m
Doraemon the Movie: Nobita's Earth Symphony,Sci-Fi,6.6,1500,1h 55m
Teri Baaton Mein Aisa Uljha Jiya,Sci-Fi,6.2,54000,2h 21m
Guy Manley: Super Spy,Sci-Fi,4.4,142,1h 32m
V/H/S/Beyond,Sci-Fi,5.8,9700,1h 54m
Things Will Be Different,Sci-Fi,5.2,2700,1h 42m
My Hero Academia: You're Next,Sci-Fi,7.0,2500,1h 50m
The Greatest Hits,Sci-Fi,6.2,7600,1h 34m
Breathe,Sci-Fi,4.2,7400,1h 33m
Happyend,Sci-Fi,7.0,739,1h 53m
The Empire,Sci-Fi,5.2,1300,1h 50m
The Fix,Sci-Fi,4.6,1500,1h 38m
Daniela Forever,Sci-Fi,6.1,228,1h 53m
Justice League: Crisis on Infinite Earths - Part Three,Sci-Fi,6.1,4700,1h 34m
Watchmen: Chapter II,Sci-Fi,7.0,3300,1h 30m
Son's Will,Sci-Fi,7.4,949,2h 28m
Justice League: Crisis on Infinite Earths - Part One,Sci-Fi,6.2,8600,1h 33m
Badland Hunters,Sci-Fi,5.9,12000,1h 47m
Turn Me On,Sci-Fi,5.6,611,1h 39m
Megamind vs. The Doom Syndicate,Sci-Fi,2.5,5600,1h 23m
Code 8: Part II,Sci-Fi,5.7,16000,1h 40m
Drive Back,Sci-Fi,4.5,569,1h 34m
The Invisibles,Sci-Fi,5.8,525,1h 51m
Ultraman: Rising,Sci-Fi,6.9,6500,1h 57m
Another End,Sci-Fi,6.4,776,1h 59m
The Thinking Game,Sci-Fi,7.6,242,1h 24m
Justice League: Crisis on Infinite Earths - Part Two,Sci-Fi,5.5,5500,1h 34m
Uranus 2324,Sci-Fi,6.4,4900,2h 10m
Wonderland,Sci-Fi,6.2,2400,1h 53m
Levels,Sci-Fi,5.0,1600,1h 33m
The Bunker,Sci-Fi,4.3,322,1h 32m
Baby Invasion,Sci-Fi,4.7,530,1h 20m
Last Night on Earth,Sci-Fi,4.7,381,1h 26m
Parallel,Sci-Fi,5.3,2000,1h 28m
U Are the Universe,Sci-Fi,7.6,341,1h 30m
Bureau 749,Sci-Fi,4.0,563,2h 3m
Terminator: Skynet Rising,Sci-Fi,6.6,272,1h 28m
Ick,Sci-Fi,5.6,207,1h 27m
Alien: Rubicon,Sci-Fi,2.4,356,1h 26m
Year 10,Sci-Fi,5.4,1900,1h 36m
Agent Recon,Sci-Fi,2.4,711,1h 25m
Latency,Sci-Fi,4.2,2800,1h 34m
Street Trash,Sci-Fi,4.5,915,1h 25m
Mars,Sci-Fi,8.3,22,1h 24m
Can I Get a Witness,Sci-Fi,5.5,193,1h 50m
Futra Days,Sci-Fi,4.2,155,1h 39m
Alienoid: The Return to the Future,Sci-Fi,6.5,2700,2h 2m
Planet B,Sci-Fi,4.9,302,1h 58m
Arena Wars,Sci-Fi,4.9,2200,1h 36m
Bade Miyan Chote Miyan,Sci-Fi,3.7,39000,2h 43m
We're All Gonna Die,Sci-Fi,8.2,96,1h 50m
Desert Road,Sci-Fi,6.8,165,1h 30m
Moon Maidens 2,Sci-Fi,3.9,49,1h 9m
The Thundermans Return,Sci-Fi,5.0,1900,1h 10m
Sentinel,Sci-Fi,2.5,778,1h 30m
Canadian Sniper,Sci-Fi,3.4,359,1h 23m
Else,Sci-Fi,6.0,249,1h 42m
City Hunter,Sci-Fi,6.3,5700,1h 42m
Balestra,Sci-Fi,5.1,536,2h 25m
Cora,Sci-Fi,4.6,923,1h 44m
Peripheral,Sci-Fi,8.8,25,1h 28m
South of Hope Street,Sci-Fi,6.3,1700,1h 41m
X Files,Sci-Fi,2.2,66,1h 14m
Timestalker,Sci-Fi,5.5,3000,1h 29m
Escape from the 21st Century,Sci-Fi,6.5,934,1h 38m
Maid Droid Origins,Sci-Fi,3.0,327,1h 36m
Going Viral,Sci-Fi,8.3,299,1h 30m
Somnium,Sci-Fi,8.5,47,1h 32m
Creep Encounters,Sci-Fi,4.2,119,1h 12m
Babezilla vs the Cyber Skanks: Rise of MechaBabezilla,Sci-Fi,5.0,114,55m
Trapped Inn,Sci-Fi,2.7,927,1h 55m
The Silent Planet,Sci-Fi,4.8,260,1h 35m
Black,Sci-Fi,7.1,2800,1h 55m
UI,Sci-Fi,6.8,5700,2h 15m
www.RachelOrmont.com,Sci-Fi,4.2,38,1h 20m
Lumina,Sci-Fi,2.2,680,1h 53m
The Last Ronin,Sci-Fi,4.9,586,1h 55m
To the Journey: Looking Back at Star Trek: Voyager,Sci-Fi,8.0,34,1h 49m
Reversi,Sci-Fi,7.1,261,2h 15m
Bionic,Sci-Fi,4.3,1700,1h 50m
Previously Saved Version,Sci-Fi,5.4,443,1h 57m
S.T.A.L.K.E.R.: Shadow of the Zone,Sci-Fi,5.2,490,1h 12m
Ayalaan,Sci-Fi,5.9,4000,2h 35m
No Time to Spy: A Loud House Movie,Sci-Fi,6.4,477,1h 21m
War of the Worlds: Extinction,Sci-Fi,3.0,210,1h 24m
The Human Hibernation,Sci-Fi,4.8,130,1h 30m
Fight Another Day,Sci-Fi,4.9,372,1h 37m
Aftermath,Sci-Fi,5.2,4400,1h 18m
Unspeakable: Beyond the Wall of Sleep,Sci-Fi,6.1,58,1h 30m
