Title,Genre,Rating,Votes,Duration
Queen of the Ring,Sport,6.4,1800,2h 20m
Challengers,Sport,7.0,157000,2h 11m
Arthur the King,Sport,7.0,35000,1h 47m
Under Paris,Sport,5.2,37000,1h 44m
Unstoppable,Sport,6.8,4300,1h 56m
Young Woman and the Sea,Sport,7.5,17000,2h 9m
The Fire Inside,Sport,6.7,2700,1h 49m
You Gotta Believe,Sport,5.8,1300,1h 44m
Sweet Dreams,Sport,5.4,1400,1h 35m
Rez Ball,Sport,6.3,2500,1h 51m
Haikyu!! The Dumpster Battle,Sport,7.7,6400,1h 25m
Uranus 2324,Sport,6.4,4900,2h 10m
The Beautiful Game,Sport,6.3,8100,2h 5m
Chandu Champion,Sport,7.8,34000,2h 22m
The Swedish Torpedo,Sport,6.3,185,2h
Gundi: Legend of Love,Sport,9.0,5600,2h 46m
Maidaan,Sport,7.9,23000,3h 1m
Race for Glory: Audi vs. Lancia,Sport,5.8,4900,1h 49m
Blue Lock: Episode Nagi,Sport,6.6,2600,1h 31m
Lubber Pandhu,Sport,8.1,6100,2h 26m
Kill the Jockey,Sport,6.4,1700,1h 36m
Mond,Sport,7.0,291,1h 32m
Diving Into the Darkness,Sport,9.1,84,1h 36m
My Sunshine,Sport,7.1,1400,1h 40m
Baki Hanma VS Kengan Ashura,Sport,5.7,2000,1h 2m
Little Wing,Sport,6.1,942,1h 40m
The Underdoggs,Sport,5.6,4600,1h 36m
Yolo,Sport,6.9,3800,2h 9m
Balestra,Sport,5.1,536,2h 25m
Wingless,Sport,7.3,174,1h 50m
Color of Victory,Sport,6.1,40000,2h 37m
Sixty Minutes,Sport,5.7,5200,1h 28m
Boxer,Sport,6.4,1300,2h 30m
Mr. & Mrs. Mahi,Sport,5.9,16000,2h 19m
Bionic,Sport,4.3,1700,1h 50m
Cup,Sport,8.6,80,2h 26m
Crakk: Jeetega... Toh Jiyegaa,Sport,4.7,6500,2h 34m
El Harifa 2: El Remontada,Sport,6.3,449,2h 10m
El Hareefa,Sport,6.8,1100,1h 57m
Alpha.,Sport,6.9,254,1h 40m
Untold: The Murder of Air McNair,Sport,5.6,2100,57m
Giannis: The Marvelous Journey,Sport,8.3,1800,1h 49m
Havnaa,Sport,7.1,274,1h 50m
Federer: Twelve Final Days,Sport,7.3,4100,1h 28m
The Champion,Sport,5.5,901,1h 46m
Off the Line,Sport,8.7,16,N/A
My Annoying Brother,Sport,7.5,268,1h 54m
Nasty,Sport,7.7,1100,1h 43m
The Final: Attack on Wembley,Sport,6.3,2500,1h 22m
Ski,Sport,7.7,68,1h 35m
Lal Salaam,Sport,4.4,1300,2h 30m
Return to the Ring,Sport,5.3,732,1h 46m
Vijay 69,Sport,6.1,1200,1h 52m
Concussed: The American Dream,Sport,7.9,42,N/A
Free Falling,Sport,5.2,299,1h 29m
Hayatla Baris,Sport,6.3,384,2h 5m
Fight Like a Girl,Sport,8.2,18,1h 58m
Knock Out Blonde: The Kellie Maloney Story,Sport,5.7,22,1h 30m
Blue Star,Sport,6.9,1600,2h 46m
Samia,Sport,6.8,149,1h 42m
Sunshine,Sport,7.2,63,1h 31m
First Class: Full Speed!,Sport,7.0,334,N/A
Minor Leaguer,Sport,5.1,93,1h 17m
EFC,Sport,7.7,1200,1h 27m
Grace by Night,Sport,7.1,25,N/A
Pierce,Sport,6.5,143,1h 49m
Kulej. Dwie strony medalu,Sport,6.4,335,2h 28m
The Tale of Texas Pool,Sport,7.7,79,N/A
GG (Good Game),Sport,5.8,80,1h 40m
The Miranda Brothers,Sport,4.4,191,1h 39m
Undisputed,Sport,6.8,106,1h 4m
Nayab,Sport,7.4,268,2h 33m
Pegasus 2,Sport,6.9,1300,2h 1m
Uma Musume: Pretty Derby - Beginning of a New Era,Sport,7.4,138,1h 48m
Padu,Sport,5.1,81,1h 37m
Memes & Nightmares,Sport,5.7,90,1h 21m
Swamiji Club,Sport,N/A,90,N/A
Topuria Matador,Sport,7.2,166,1h 35m
Champions of the Golden Valley,Sport,9.2,74,1h 21m
Pay Dirt: The Story of Supercross,Sport,N/A,74,1h 31m
Inazuma Eleven Movie: The Legendary Kickoff,Sport,8.3,6,N/A
Friendly Fire,Sport,4.9,63,1h 45m
Gold,Sport,7.7,75,2h 6m
Game Changers,Sport,4.7,227,1h 18m
It's All Over: The Kiss That Changed Spanish Football,Sport,6.9,638,1h 35m
Unbreakable: England 2003,Sport,8.2,36,1h 6m
Fuchsia Libre,Sport,4.9,60,1h 52m
All American,Sport,9.6,18,1h 27m
Dabaru,Sport,8.9,651,2h 11m
The Spoils: Selling the Future of American Basketball,Sport,6.8,7,1h 27m
Rhythm Masters: A Mickey Hart Experience,Sport,7.3,23,N/A
4 Zéros,Sport,3.6,149,1h 45m
Final Heat,Sport,3.8,214,1h 23m
Las super estrellas de la lucha libre,Sport,8.7,52,1h 38m
Anytime,Sport,8.9,25,1h 2m
Keluar Main 1994,Sport,7.8,54,1h 52m
See Her Be Her,Sport,6.8,26,1h 50m
Home Plate,Sport,N/A,26,1h 25m
Argentina '78,Sport,7.1,209,N/A
Challenger,Sport,5.6,178,1h 35m
Harimau Malaya: The Untold Journey,Sport,8.2,22,2h 5m
Patang,Sport,N/A,22,N/A
Parviz Khan,Sport,5.9,215,1h 50m
Numéro 10,Sport,5.3,51,1h 31m
V de Victor,Sport,5.2,77,1h 40m
Lyod 3,Sport,6.0,308,2h 14m
A Horse Named Winx,Sport,8.7,99,1h 57m
Bartali's Bicycle,Sport,7.7,7,1h 20m
The Netflix Slam,Sport,7.2,146,2h 30m
Linford,Sport,7.3,149,1h 29m
Runaway Wrestler,Sport,7.9,15,1h 45m
Basketball Jones: The First Chapter,Sport,N/A,15,N/A
87 Candles,Sport,9.0,10,55m
Together: 4-in-a-Row,Sport,6.3,66,1h 32m
Fedya. Narodnyy futbolist,Sport,6.0,128,2h 5m
The Incredibles,Sport,9.3,116,N/A
A Game of Two Halves,Sport,7.3,24,1h 40m
Inazuma Eleven the Movie: Prologue to the New Heroes,Sport,N/A,24,N/A
Hai Romania!,Sport,8.1,425,1h 38m
Eclipse,Sport,9.4,84,1h 19m
Loser is Winner,Sport,8.1,554,N/A
Below the Rim,Sport,5.0,16,1h 29m
Gabru Gang,Sport,8.7,214,2h 3m
Welcome Back,Sport,7.4,5,1h 59m
Clash of Dynasties: St. Edward vs Walsh Jesuit,Sport,N/A,5,N/A
The Road to OVC Champions,Sport,N/A,5,1h 2m
Daley,Sport,7.8,180,1h 42m
Faster: Only one lap,Sport,6.9,24,1h 30m
Rafa Márquez: El Capitán,Sport,6.6,195,1h 22m
For the Love of Basketball,Sport,N/A,195,N/A
Nos Amours: The Saga of the Montreal Expos,Sport,6.2,23,1h 32m
Giroud,Sport,6.3,24,1h 20m
Big Water Theory,Sport,N/A,24,1h 23m
Hatching Eagles,Sport,6.9,23,1h 3m
Deathgrip 2,Sport,N/A,23,59m
Salty Amazons,Sport,N/A,23,32m
Puffing Iron,Sport,7.5,20,1h 38m
Roman Kostomarov. Rozhdennyy dvazhdy,Sport,N/A,20,1h 17m
Rylan: Homophobia Football & Me,Sport,5.5,24,N/A
Take the Steps,Sport,8.3,74,1h 23m
I am Al Ittihad,Sport,4.9,230,1h 30m
La valanga azzurra,Sport,7.6,10,1h 30m
The Unbreakable Tatiana Suarez,Sport,6.6,171,1h 18m
Altitude FC: Rising Together,Sport,N/A,171,N/A
Hard 90 to Home,Sport,N/A,171,46m
UFC 299: O'Malley vs. Vera 2,Sport,7.4,83,3h
Dolly: Story of a Warrior,Sport,N/A,83,N/A
V potoke trekh stikhiy,Sport,5.2,42,1h 25m
1600 Meter,Sport,N/A,42,1h 46m
Battle of the Baddest,Sport,6.1,94,1h 1m
DitO,Sport,4.0,23,1h 57m
Top Rider,Sport,N/A,23,1h 24m
Graciano Rocchigiani - Das Herz eines Boxers,Sport,9.2,51,2h 3m
Il tempo è ancora nostro,Sport,N/A,51,N/A
Fencing for the Edge,Sport,N/A,51,1h 15m
Grudge,Sport,N/A,51,1h 44m
Ice Cross: Life on the Edge,Sport,8.4,15,1h 30m
Beyond the Podium: Celebrating Canadian Women Champions,Sport,N/A,15,N/A
In Inima Nationalei,Sport,7.8,200,1h 43m
Passion of Iron,Sport,9.3,18,N/A
Tracing the Divide,Sport,8.8,173,1h 24m
The Next Centimeter,Sport,7.5,35,26m
Trailblazers,Sport,6.4,18,38m
Ping pang nan hai,Sport,7.1,19,1h 48m
Secrets of Women's Mat Wrestling,Sport,N/A,19,1h
Dare to Dream,Sport,N/A,19,1h 54m
UFC 302: Makhachev vs. Poirier,Sport,6.7,96,3h
Cold Brew,Sport,N/A,96,22m
The Streak,Sport,N/A,96,1h 27m
Za predelami. Ostavit sled,Sport,N/A,96,1h 20m
Episodes: Ukraine at the World Cup (2024),Sport,8.1,72,1h 19m
Traineras pasión por el remo,Sport,6.0,7,N/A
Peleamos,Sport,8.7,26,N/A
Zlatan Ibrahimovic hyllningsmatch (Sweden vs Serbia),Sport,6.6,6,2h 50m
Twitch,Sport,N/A,6,N/A
Vincenzo Nibali - Il 7° campione,Sport,N/A,6,52m
Welcome to the J-Rod Show,Sport,N/A,6,44m
Golpe a Golpe (Blow by Blow),Sport,8.1,23,1h 30m
UFC 303: Pereira vs. Prochazka 2,Sport,6.4,71,3h 15m
I am the girl 2 and my black belt,Sport,N/A,71,2h 2m
Ice Fishing Hardcore: On the Road,Sport,9.6,7,N/A
Ice Aged,Sport,7.0,8,1h 50m
O Fenômeno eSports,Sport,N/A,8,N/A
Phantom of the Ice,Sport,7.6,735,N/A
UFC 297: Strickland vs. du Plessis,Sport,6.3,64,3h
8 secondes,Sport,N/A,64,1h 29m
Fútbol desde el corazón,Sport,N/A,64,1h 30m
More Than a Whistle,Sport,N/A,64,N/A
¡Qué suerte hemos tenido!,Sport,7.5,16,1h 2m
Volare più in alto,Sport,N/A,16,51m
Qajymuqan,Sport,4.8,5,N/A
Nine: The Big Break,Sport,N/A,5,N/A
Beta Squad vs AMP Charity Match 2024,Sport,N/A,5,3h 30m
9 Hao Chuan Qi,Sport,N/A,5,N/A
Wave Warriors IV,Sport,N/A,5,N/A
A Piece of Home,Sport,N/A,5,N/A
Quote 10.35,Sport,8.0,24,35m
I Am Kevin Harvick,Sport,9.1,17,N/A
Gaffer,Sport,N/A,17,N/A
Athletes of War,Sport,N/A,17,1h 35m
Drachten Journaals,Sport,N/A,17,51m
Me to stahy sti fanela,Sport,N/A,17,48m
