Title,Genre,Rating,Votes,Duration
Conclave,Thriller,7.4,191000,2h
Babygirl,Thriller,5.9,60000,1h 54m
Heretic,Thriller,7.0,149000,1h 51m
Speak No Evil,Thriller,6.8,106000,1h 50m
Kraven the Hunter,Thriller,5.5,60000,2h 7m
Twisters,Thriller,6.5,173000,2h 2m
Venom: The Last Dance,Thriller,6.0,124000,1h 50m
The Order,Thriller,6.8,47000,1h 56m
Trap,Thriller,5.8,142000,1h 45m
Blink Twice,Thriller,6.5,109000,1h 42m
Alien: Romulus,Thriller,7.1,249000,1h 59m
Longlegs,Thriller,6.6,190000,1h 41m
Presence,Thriller,6.1,24000,1h 24m
Eden,Thriller,6.6,1500,2h
Civil War,Thriller,7.0,241000,1h 49m
Juror #2,Thriller,7.0,102000,1h 54m
Smile 2,Thriller,6.7,110000,2h 7m
The Beekeeper,Thriller,6.3,159000,1h 45m
The Surfer,Thriller,6.5,3500,1h 40m
Wolfs,Thriller,6.5,86000,1h 48m
The Count of Monte-Cristo,Thriller,7.6,36000,2h 58m
Carry-On,Thriller,6.5,169000,1h 59m
Abigail,Thriller,6.5,99000,1h 49m
The Luckiest Man in America,Thriller,6.2,2600,1h 31m
Sharp Corner,Thriller,5.8,1100,1h 50m
Road House,Thriller,6.2,169000,2h 1m
A Different Man,Thriller,6.9,30000,1h 52m
Caddo Lake,Thriller,6.8,44000,1h 43m
Oddity,Thriller,6.7,45000,1h 38m
Subservience,Thriller,5.4,29000,1h 46m
Arcadian,Thriller,5.5,24000,1h 32m
The Seed of the Sacred Fig,Thriller,7.6,15000,2h 47m
Madame Web,Thriller,4.0,102000,1h 56m
Borderlands,Thriller,4.7,50000,1h 41m
September 5,Thriller,7.1,25000,1h 35m
Love Lies Bleeding,Thriller,6.6,58000,1h 44m
Rebel Ridge,Thriller,6.8,90000,2h 11m
Joker: Folie à Deux,Thriller,5.2,163000,2h 18m
Homestead,Thriller,5.3,3900,1h 52m
Salem's Lot,Thriller,5.6,34000,1h 54m
Everyone Is Going to Die,Thriller,3.9,251,1h 24m
Emilia Pérez,Thriller,5.4,90000,2h 12m
A Quiet Place: Day One,Thriller,6.3,152000,1h 39m
Drive-Away Dolls,Thriller,5.4,24000,1h 24m
Lucky Baskhar,Thriller,8.0,33000,2h 28m
Godzilla x Kong: The New Empire,Thriller,6.0,123000,1h 55m
Bad Boys: Ride or Die,Thriller,6.5,101000,1h 55m
The Crow,Thriller,4.7,36000,1h 51m
It's What's Inside,Thriller,6.6,43000,1h 43m
Argylle,Thriller,5.6,93000,2h 19m
Kingdom of the Planet of the Apes,Thriller,6.9,153000,2h 25m
Elevation,Thriller,5.6,23000,1h 31m
Ask Me What You Want,Thriller,3.8,1100,1h 54m
Cuckoo,Thriller,5.7,28000,1h 42m
The Watchers,Thriller,5.7,58000,1h 42m
Monkey Man,Thriller,6.8,93000,2h 1m
The Killer's Game,Thriller,5.8,18000,1h 44m
The Instigators,Thriller,6.2,38000,1h 41m
The Shrouds,Thriller,6.0,2500,2h
The Union,Thriller,5.4,54000,1h 47m
The Rule of Jenny Pen,Thriller,6.2,5300,1h 44m
Land of Bad,Thriller,6.6,52000,1h 53m
The Last Breath,Thriller,4.7,2300,1h 36m
Miller's Girl,Thriller,5.2,24000,1h 33m
Don't Move,Thriller,5.8,40000,1h 32m
Immaculate,Thriller,5.8,54000,1h 29m
Maharaja,Thriller,8.4,69000,2h 21m
Pushpa: The Rule - Part 2,Thriller,6.1,57000,3h 21m
Mothers' Instinct,Thriller,6.3,21000,1h 34m
Never Let Go,Thriller,5.4,16000,1h 41m
The Silent Hour,Thriller,6.1,8000,1h 39m
MadS,Thriller,6.4,8300,1h 29m
Bring Them Down,Thriller,6.5,3800,1h 46m
Sleeping Dogs,Thriller,6.2,22000,1h 50m
Unit 234,Thriller,5.3,627,1h 26m
Magpie,Thriller,6.2,3600,1h 30m
Apocalypse Z: The Beginning of the End,Thriller,6.1,20000,1h 57m
2073,Thriller,5.0,3000,1h 25m
In a Violent Nature,Thriller,5.6,27000,1h 34m
Hellboy: The Crooked Man,Thriller,4.5,14000,1h 39m
Dirty Angels,Thriller,4.4,3700,1h 44m
Time Cut,Thriller,5.0,19000,1h 31m
Altered Reality,Thriller,4.7,425,1h 38m
Werewolves,Thriller,4.4,7300,1h 33m
Night Swim,Thriller,4.7,28000,1h 38m
Bonhoeffer: Pastor. Spy. Assassin.,Thriller,6.2,3800,2h 13m
Exhuma,Thriller,6.9,24000,2h 14m
Beverly Hills Cop: Axel F,Thriller,6.4,82000,1h 58m
Dead Mail,Thriller,6.0,1700,1h 46m
Lift,Thriller,5.5,50000,1h 47m
The Killer,Thriller,5.7,13000,2h 6m
Afraid,Thriller,5.2,14000,1h 24m
Apartment 7A,Thriller,5.9,17000,1h 47m
The Deliverance,Thriller,5.1,23000,1h 52m
Atlas,Thriller,5.6,56000,1h 58m
Black Dog,Thriller,7.2,3400,1h 56m
Long Gone Heroes,Thriller,5.1,1200,1h 41m
Kryptic,Thriller,4.1,482,1h 42m
Weekend in Taipei,Thriller,5.7,5100,1h 40m
40 Acres,Thriller,7.0,195,1h 53m
Survive,Thriller,4.5,2900,1h 30m
A Sacrifice,Thriller,5.0,5600,1h 34m
Kalki 2898 AD,Thriller,7.0,67000,3h
Under Paris,Thriller,5.2,37000,1h 44m
Die Alone,Thriller,5.7,3600,1h 30m
The Wasp,Thriller,6.1,4900,1h 36m
Absolution,Thriller,5.2,8500,1h 52m
Twilight of the Warriors: Walled In,Thriller,7.0,10000,2h 6m
Kishkindha Kaandam,Thriller,8.0,12000,2h 13m
Canary Black,Thriller,5.4,12000,1h 41m
Night Call,Thriller,6.8,2200,1h 37m
The Painted,Thriller,4.8,956,1h 25m
The Contract,Thriller,7.2,73,1h 45m
The Prosecutor,Thriller,6.6,2300,1h 57m
The Girl in the Pool,Thriller,4.3,1500,1h 29m
Aftermath,Thriller,5.1,4200,1h 37m
Slingshot,Thriller,5.7,9900,1h 48m
Sugar Baby,Thriller,4.0,381,1h 28m
The Platform 2,Thriller,4.9,41000,1h 39m
Saripodhaa Sanivaaram,Thriller,7.0,9500,2h 46m
Lake George,Thriller,6.5,1400,1h 58m
Motel Destino,Thriller,6.5,1900,1h 55m
Cellar Door,Thriller,5.3,4300,1h 37m
The Shadow Strays,Thriller,6.5,9500,2h 24m
Damaged,Thriller,4.7,7500,1h 37m
The Devil's Bath,Thriller,6.6,6500,2h 1m
A Mistake,Thriller,5.6,897,1h 41m
Armor,Thriller,3.6,4300,1h 29m
Skincare,Thriller,5.7,4600,1h 36m
Distant,Thriller,5.7,3400,1h 27m
No Way Up,Thriller,4.6,11000,1h 30m
F*** Marry Kill,Thriller,5.3,2700,1h 37m
Trigger Warning,Thriller,4.6,20000,1h 46m
Bedspacer,Thriller,4.4,357,1h 30m
The Ruse,Thriller,7.0,269,1h 45m
Pune Highway,Thriller,7.9,20,2h 1m
The Shameless,Thriller,5.8,281,1h 54m
Do Patti,Thriller,6.4,69000,2h 6m
Rich Flu,Thriller,5.2,6100,1h 56m
The Exorcism,Thriller,4.2,12000,1h 35m
Sumala,Thriller,5.8,1100,1h 52m
Restless,Thriller,6.7,203,1h 29m
Boneyard,Thriller,4.1,5100,1h 36m
Force of Nature: The Dry 2,Thriller,5.8,7300,2h
Classified,Thriller,3.7,2700,1h 45m
Waves,Thriller,8.0,1900,2h 11m
Amber Alert,Thriller,6.0,5800,1h 30m
Killer Heat,Thriller,5.6,14000,1h 35m
Succubus,Thriller,4.6,1300,1h 43m
Electra,Thriller,5.7,92,1h 25m
Sookshma Darshini,Thriller,7.8,11000,2h 22m
The Haunted Apartment: Miss K,Thriller,5.6,387,1h 43m
11 Rebels,Thriller,6.2,554,2h 35m
Blackwater Lane,Thriller,4.6,2200,1h 48m
Santosh,Thriller,7.1,2300,2h 8m
Sting,Thriller,5.7,17000,1h 31m
Sikandar Ka Muqaddar,Thriller,6.0,24000,2h 22m
Uprising,Thriller,6.6,5700,2h 6m
Shell,Thriller,6.6,72,1h 40m
Baby John,Thriller,5.2,17000,2h 39m
Marco,Thriller,6.8,22000,2h 25m
Grafted,Thriller,5.6,2500,1h 36m
Harbin,Thriller,6.2,860,1h 48m
How to Make a Killing,Thriller,6.5,1200,1h 49m
Relay,Thriller,7.5,113,1h 52m
V/H/S/Beyond,Thriller,5.8,9700,1h 54m
Lembayung,Thriller,5.9,756,2h 3m
Things Will Be Different,Thriller,5.2,2700,1h 42m
Barron's Cove,Thriller,8.6,43,1h 56m
Logout,Thriller,7.2,1100,1h 48m
Sons,Thriller,6.4,2100,1h 40m
Humane,Thriller,5.5,7400,1h 33m
Detained,Thriller,4.9,1700,1h 37m
Dead Talents Society,Thriller,7.0,2300,1h 51m
Bad Genius,Thriller,6.2,2400,1h 36m
The Calendar Killer,Thriller,5.4,4300,1h 37m
The Mouse Trap,Thriller,2.4,3500,1h 20m
Winner,Thriller,6.5,2600,1h 43m
The Inheritance,Thriller,4.7,3000,1h 25m
Breathe,Thriller,4.2,7400,1h 33m
Outside,Thriller,5.1,4700,2h 22m
Hold Your Breath,Thriller,5.3,8800,1h 34m
Sector 36,Thriller,7.1,25000,2h 3m
Imaginary,Thriller,4.7,17000,1h 44m
Steppenwolf,Thriller,6.5,274,1h 42m
Take Cover,Thriller,5.1,2600,1h 30m
Maldoror,Thriller,6.9,771,2h 35m
Dead Sea,Thriller,5.2,5400,1h 28m
Manjummel Boys,Thriller,8.2,28000,2h 15m
Blood Star,Thriller,6.4,5500,1h 37m
Red Right Hand,Thriller,5.5,6000,1h 51m
One of Those Days When Hemme Dies,Thriller,6.5,405,1h 23m
Winnie-the-Pooh: Blood and Honey 2,Thriller,4.7,12000,1h 33m
The Front Room,Thriller,4.6,5500,1h 34m
A Desert,Thriller,6.3,194,1h 43m
Black Cab,Thriller,4.2,1800,1h 28m
Chief of Station,Thriller,4.7,4700,1h 37m
Joe Baby,Thriller,5.8,64,1h 26m
Inside,Thriller,7.1,260,1h 44m
We Bury the Dead,Thriller,7.1,116,1h 34m
The Clean Up Crew,Thriller,4.1,1200,1h 35m
The Soul Eater,Thriller,5.9,2800,1h 48m
Cloud,Thriller,6.3,1300,2h 4m
The Roundup: Punishment,Thriller,6.6,5500,1h 49m
Jigra,Thriller,6.0,24000,2h 33m
Here After,Thriller,4.1,1600,1h 33m
Bone Lake,Thriller,N/A,1600,1h 34m
Devara Part 1,Thriller,6.0,21000,2h 56m
River of Blood,Thriller,5.1,1900,1h 26m
Who's Cheating Who?,Thriller,7.2,86,1h 36m
Bramayugam,Thriller,7.8,14000,2h 19m
Escape,Thriller,6.4,2100,1h 34m
The Painter,Thriller,4.7,2300,1h 40m
Sew Torn,Thriller,6.5,263,1h 40m
Life After Fighting,Thriller,6.4,2100,2h 6m
Shaitaan,Thriller,6.5,55000,2h 12m
Singham Again,Thriller,4.7,75000,2h 24m
Depravity,Thriller,4.3,1100,1h 57m
The Kingdom,Thriller,6.9,964,1h 52m
Badland Hunters,Thriller,5.9,12000,1h 47m
