Title,Genre,Rating,Votes,Duration
The Ministry of Ungentlemanly Warfare,War,6.8,137000,2h 2m
The Six Triple Eight,War,6.7,27000,2h 7m
Blitz,War,6.2,17000,2h
Nr. 24,War,7.5,16000,1h 51m
Dirty Angels,War,4.4,3700,1h 44m
William Tell,War,5.7,2800,2h 13m
My Dead Friend Zoe,War,6.6,2500,1h 43m
Amaran,War,8.1,19000,2h 47m
Goebbels and the Führer,War,6.7,2400,2h 15m
Uprising,War,6.6,5700,2h 6m
Escape from Germany,War,5.4,1000,1h 37m
The Last Front,War,5.5,623,1h 38m
Chandu Champion,War,7.8,34000,2h 22m
Bau: Artist at War,War,7.2,62,2h 10m
Murder Company,War,3.6,1600,1h 26m
Atatürk II: 1881-1919,War,8.9,2200,2h 21m
Decoded,War,5.7,451,2h 36m
The Witch: Revenge,War,5.3,854,1h 40m
Quisling: The Final Days,War,7.1,1200,2h 26m
Without Blood,War,7.4,109,1h 31m
Invasion,War,4.8,721,1h 31m
Before Dawn,War,5.4,1100,1h 41m
Canadian Sniper,War,3.4,359,1h 23m
Laws of Man,War,5.5,1400,1h 38m
Ka Whawhai Tonu,War,7.3,188,1h 55m
All the Lost Ones,War,3.7,263,1h 46m
Le quatrième mur,War,6.4,131,1h 56m
24 Hours to D-Day,War,3.6,54,1h 23m
Red Poppies,War,4.7,325,2h 2m
Love Courage and the Battle of Bushy Run,War,5.0,188,1h 53m
Kang Mak,War,6.4,858,2h 2m
The Shamrock Spitfire,War,5.2,492,1h 48m
Call of Duty,War,8.5,12,N/A
The Volunteers: The Battle of Life and Death,War,6.2,241,2h 24m
WWII: Operation Phoenix,War,5.7,95,1h 46m
Battlefield,War,6.2,691,1h 44m
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,War,8.1,668,2h 54m
Never Alone,War,7.2,436,1h 25m
Conquer: Lahad Datu,War,6.6,534,2h
The Friendly,War,8.2,17,1h 41m
Air War,War,6.4,117,1h 46m
Hitler,War,5.2,306,2h 8m
Chhava,War,8.5,2200,51m
Russians at War,War,2.0,1100,2h 9m
Aserb: The Squadron,War,5.2,313,2h
The Liberation Men,War,6.6,84,1h 30m
The Yin Yang Master Zero,War,5.7,282,1h 52m
Dwie siostry,War,5.7,38,1h 32m
White Courage,War,6.4,635,1h 55m
Ludzie,War,6.6,49,1h 57m
Fortunes of War,War,3.6,180,1h 25m
The Epidemic,War,5.8,71,1h 35m
The Dugout,War,5.4,762,1h 54m
Bardejov,War,4.8,178,1h 25m
War Blade,War,3.9,254,1h 34m
Hengyang 1944,War,8.7,17,N/A
Dao Pho Va Piano,War,5.8,210,1h 40m
Village of Death: Oradour-sur-Glane 1944,War,7.8,15,58m
Der Deserteur,War,9.4,19,1h 33m
Haywire: Gunslingers,War,2.0,30,1h 25m
Klitschko: More Than a Fight,War,6.3,511,1h 36m
Occupied,War,N/A,511,1h 17m
Bozji gnjev,War,7.2,59,1h 51m
Peter Brook's the Mahabharata (8K),War,N/A,59,2h 53m
Duffle Bag Boy,War,6.8,60,N/A
We Were Recruits,War,6.9,243,1h 32m
The Mousetrap,War,7.2,22,1h 27m
The Daughter,War,6.4,10,1h 37m
Kargil 1999- The Untold Story of the Indian Air Force,War,8.5,15,N/A
October 7 - Al Jazeera Investigations,War,5.2,58,1h
America Invaded,War,7.3,20,1h 22m
The Battle for Kyiv,War,7.2,39,N/A
Operation Thule,War,N/A,39,2h 40m
No Tomorrow,War,N/A,39,N/A
The Dakota War: Attack on Fort Ridgely,War,N/A,39,1h 20m
Arlempdes la légende du premier château de la Loire,War,6.5,12,N/A
Burning Stars,War,6.6,45,1h 24m
Ekpebiwo m (I have Decided),War,N/A,45,N/A
The Youngest Partisan,War,N/A,45,2h 15m
The West Sky,War,5.1,131,N/A
Life and Death in Gaza,War,8.5,10,1h 28m
Ukraine Mon Amour,War,N/A,10,N/A
Majnoon,War,6.9,35,N/A
Dun huang ying xiong,War,N/A,35,N/A
Pozyvnoy «Passazhir»,War,4.8,232,1h 41m
Scars,War,7.8,22,1h 14m
Korni,War,8.2,16,2h 17m
Blood Vendetta,War,7.7,237,1h 30m
Burgemeestersmoord,War,6.4,84,N/A
72 Sigan,War,N/A,84,4h
