Title,Genre,Rating,Votes,Duration
Rust,Western,5.3,2200,2h 19m
Horizon: An American Saga - Chapter 1,Western,6.6,41000,3h 1m
The Unholy Trinity,Western,N/A,41000,1h 33m
Horizon: An American Saga - Chapter 2,Western,7.2,1300,3h 10m
The Thicket,Western,5.8,3300,1h 48m
They Call Her Death,Western,5.4,170,1h 32m
Pedro Páramo,Western,6.3,3100,2h 10m
Black Creek,Western,9.4,22,1h 56m
Same Old West,Western,7.7,248,1h 38m
Buffalo Kids,Western,6.6,744,1h 33m
Seven Cemeteries,Western,4.6,641,1h 24m
Escanyapobres,Western,6.4,77,1h 42m
Golden Kamuy,Western,6.3,2600,2h 7m
Was Once a Hero,Western,8.6,51,N/A
Calamity Jane,Western,4.4,806,1h 35m
Outlaw Posse,Western,4.3,534,1h 48m
The Ballad of Davy Crockett,Western,4.6,250,1h 36m
Ghosts of Red Ridge,Western,3.2,169,1h 21m
The Night They Came Home,Western,3.6,442,1h 45m
The Guardsmen,Western,3.5,139,1h 13m
Unnatural,Western,3.7,138,1h 43m
Bitter Gold,Western,7.9,49,1h 23m
Paradise,Western,6.9,79,1h 23m
Over the Red River,Western,3.6,93,1h 23m
Eye for an Eye 2,Western,6.6,530,1h 30m
Malaikottai Vaaliban,Western,6.0,4200,2h 36m
Taken from Rio Bravo,Western,3.0,318,1h 20m
Bolero,Western,3.1,28,N/A
Joe Crist,Western,5.1,219,53m
The forgotten Winchester,Western,N/A,219,N/A
Fyre Rises,Western,6.4,324,1h 50m
Coyote Woman,Western,2.1,77,1h 50m
Doc Holliday 3,Western,5.6,9,N/A
Lady Outlaw,Western,6.4,22,1h 44m
Oltre il confine,Western,6.9,9,1h 16m
Andromeda: 1883,Western,4.0,19,1h 15m
The Ecstasy of Gold: The Treasure of Jesse James,Western,6.1,16,1h 30m
Doc Holliday 2,Western,6.1,12,N/A
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,Western,6.4,10,1h 14m
Guns Blazin,Western,6.5,10,1h 28m
Death After Dusk,Western,5.6,91,2h 20m
Astral Plane Drifter,Western,8.8,22,N/A
Searching for the Elephant,Western,5.8,36,1h 56m
Harsh Treatment,Western,8.3,16,N/A
Zoloto Umalty,Western,4.9,113,1h 49m
Once Upon a Time in Amityville,Western,3.6,51,1h 13m
The Dakota War: Revenge,Western,N/A,51,1h 32m
The Wolf in the Chute,Western,9.0,12,33m
The Guardsmen: Part 2,Western,3.6,87,N/A
The Guardsmen: Part 3,Western,3.3,85,N/A
Mr. Pettigrew,Western,N/A,85,N/A
The Film Café,Western,N/A,85,N/A
Last Flamingo of the Red Summer Sunset,Western,8.8,14,1h 20m
In Search of Bass Reeves,Western,6.1,59,1h 45m
Jama,Western,6.3,16,1h 11m
Bo Nan Za,Western,9.1,29,1h 1m
Morningstar,Western,N/A,29,1h 24m
Dans l'ombre de Marlow,Western,N/A,29,1h 20m
A Almería de Leone,Western,N/A,29,51m
A Cowboy Against Thunder,Western,N/A,29,N/A
Adiós al amigo,Western,7.4,8,1h 58m
Hinter dem Eisernen Horizont,Western,7.3,15,1h 28m
The Partners,Western,N/A,15,58m
Myall Creek Day of Justice,Western,6.4,17,1h 18m
The Wicked: Reborn,Western,N/A,17,N/A
Sinners in the Hands of an Angry God,Western,N/A,17,1h 34m
Ghost Town,Western,N/A,17,N/A
Travesty,Western,6.4,7,1h 18m
The Cowboy Capital,Western,N/A,7,N/A
Lolo & Sosaku: The Western Archive,Western,N/A,7,1h 6m
Buried on Shine Mountain,Western,8.8,10,N/A
El Vaquero,Western,8.4,13,1h 33m
The Golden Ghosts,Western,N/A,13,1h
Bullet or Rope,Western,N/A,13,55m
The Stand at Alder Creek,Western,N/A,13,53m
The Legacy of the 12 Westerns,Western,N/A,13,N/A
Goin' Home,Western,N/A,13,1h 31m
The Rattlesnake Twins,Western,N/A,13,50m
The Letter,Western,N/A,13,N/A
Boot Hill,Western,N/A,13,N/A
The Ballad of Winchester Pete,Western,N/A,13,N/A
TV Heroes of the Wild West,Western,N/A,13,N/A
The Goods Bads and Uglys,Western,N/A,13,N/A
Attack on Tranquility,Western,N/A,13,1h 4m
Vadogga,Western,N/A,13,1h 25m
Pale Moon,Western,N/A,13,N/A
12 Million Dollar Movie on Paper,Western,N/A,13,N/A
